province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,2,2734,2.58,26597,25.06,640
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,2,13121,12.36,26597,25.06,3253
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,2,29182,27.5,26597,25.06,7231
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,2,55256,52.06,26597,25.06,13905
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,2,5841,5.5,26597,25.06,1568
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,3,2734,2.58,22268,20.98,584
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,3,13121,12.36,22268,20.98,3016
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,3,29182,27.5,22268,20.98,6585
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,3,55256,52.06,22268,20.98,10877
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,3,5841,5.5,22268,20.98,1206
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,4,2734,2.58,17467,16.46,479
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,4,13121,12.36,17467,16.46,2343
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,4,29182,27.5,17467,16.46,5100
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,4,55256,52.06,17467,16.46,8706
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,4,5841,5.5,17467,16.46,839
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,5,2734,2.58,9811,9.24,277
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,5,13121,12.36,9811,9.24,1181
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,5,29182,27.5,9811,9.24,2909
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,5,55256,52.06,9811,9.24,4930
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,5,5841,5.5,9811,9.24,514
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,6,2734,2.58,6372,6,146
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,6,13121,12.36,6372,6,814
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,6,29182,27.5,6372,6,1811
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,6,55256,52.06,6372,6,3280
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,6,5841,5.5,6372,6,321
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,7,2734,2.58,3374,3.18,80
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,7,13121,12.36,3374,3.18,389
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,7,29182,27.5,3374,3.18,906
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,7,55256,52.06,3374,3.18,1788
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,7,5841,5.5,3374,3.18,211
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,8,2734,2.58,2478,2.33,48
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,8,13121,12.36,2478,2.33,275
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,8,29182,27.5,2478,2.33,674
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,8,55256,52.06,2478,2.33,1333
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,8,5841,5.5,2478,2.33,148
