province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,INSTITUTIONAL,359,0.92,1199
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,HOMELESS,1,0,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,TOTAL,38865,100,119540
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,TRANSGENDER,27,0.01,REGULAR,38505,99.07,27
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,TRANSGENDER,27,0.01,INSTITUTIONAL,359,0.92,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,TRANSGENDER,27,0.01,HOMELESS,1,0,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,TRANSGENDER,27,0.01,TOTAL,38865,100,27
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,ALL SEXES,165222,100,REGULAR,27037,99.3,163080
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,ALL SEXES,165222,100,INSTITUTIONAL,190,0.7,2142
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,ALL SEXES,165222,100,HOMELESS,NA,NA,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,ALL SEXES,165222,100,TOTAL,27227,100,165222
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,MALE,79799,48.3,REGULAR,27037,99.3,78546
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,MALE,79799,48.3,INSTITUTIONAL,190,0.7,1253
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,MALE,79799,48.3,HOMELESS,NA,NA,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,MALE,79799,48.3,TOTAL,27227,100,79799
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,FEMALE,85412,51.7,REGULAR,27037,99.3,84523
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,FEMALE,85412,51.7,INSTITUTIONAL,190,0.7,889
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,FEMALE,85412,51.7,HOMELESS,NA,NA,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,FEMALE,85412,51.7,TOTAL,27227,100,85412
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,TRANSGENDER,11,0.01,REGULAR,27037,99.3,11
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,TRANSGENDER,11,0.01,INSTITUTIONAL,190,0.7,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,TRANSGENDER,11,0.01,HOMELESS,NA,NA,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,RURAL,TRANSGENDER,11,0.01,TOTAL,27227,100,11
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,ALL SEXES,73243,100,REGULAR,11468,98.54,67868
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,ALL SEXES,73243,100,INSTITUTIONAL,169,1.45,5374
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,ALL SEXES,73243,100,HOMELESS,1,0.01,1
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,ALL SEXES,73243,100,TOTAL,11638,100,73243
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,MALE,39099,53.38,REGULAR,11468,98.54,34034
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,MALE,39099,53.38,INSTITUTIONAL,169,1.45,5064
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,MALE,39099,53.38,HOMELESS,1,0.01,1
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,MALE,39099,53.38,TOTAL,11638,100,39099
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,FEMALE,34128,46.6,REGULAR,11468,98.54,33818
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,FEMALE,34128,46.6,INSTITUTIONAL,169,1.45,310
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,FEMALE,34128,46.6,HOMELESS,1,0.01,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,FEMALE,34128,46.6,TOTAL,11638,100,34128
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,TRANSGENDER,16,0.02,REGULAR,11468,98.54,16
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,TRANSGENDER,16,0.02,INSTITUTIONAL,169,1.45,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,TRANSGENDER,16,0.02,HOMELESS,1,0.01,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,URBAN,TRANSGENDER,16,0.02,TOTAL,11638,100,16
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,ALL SEXES,445232,100,REGULAR,73619,99.04,433035
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,ALL SEXES,445232,100,INSTITUTIONAL,697,0.94,12161
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,ALL SEXES,445232,100,HOMELESS,20,0.03,36
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,ALL SEXES,445232,100,TOTAL,74336,100,445232
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,MALE,221442,49.74,REGULAR,73619,99.04,211583
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,MALE,221442,49.74,INSTITUTIONAL,697,0.94,9832
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,MALE,221442,49.74,HOMELESS,20,0.03,27
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,MALE,221442,49.74,TOTAL,74336,100,221442
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,FEMALE,223729,50.25,REGULAR,73619,99.04,221397
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,FEMALE,223729,50.25,INSTITUTIONAL,697,0.94,2323
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,FEMALE,223729,50.25,HOMELESS,20,0.03,9
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,FEMALE,223729,50.25,TOTAL,74336,100,223729
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,TRANSGENDER,61,0.01,REGULAR,73619,99.04,55
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,TRANSGENDER,61,0.01,INSTITUTIONAL,697,0.94,6
PUNJAB,041,JHELUM DISTRICT,JHELUM TEHSIL,TOTAL,TRANSGENDER,61,0.01,HOMELESS,20,0.03,0
