province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,45 - 49,20
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,50 - 54,28055
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,50 - 54,28017
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,50 - 54,38
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,50 - 54,22690
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,50 - 54,22683
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,50 - 54,7
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,50 - 54,5365
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,50 - 54,5334
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,50 - 54,31
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,55 - 59,21150
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,55 - 59,21127
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,55 - 59,23
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,55 - 59,17148
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,55 - 59,17140
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,55 - 59,8
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,55 - 59,4002
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,55 - 59,3987
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,55 - 59,15
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,60 - 64,18837
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,60 - 64,18820
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,60 - 64,17
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,60 - 64,15236
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,60 - 64,15230
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,60 - 64,6
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,60 - 64,3601
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,60 - 64,3590
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,60 - 64,11
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,65 - 69,13041
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,65 - 69,13026
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,65 - 69,15
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,65 - 69,10826
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,65 - 69,10823
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,65 - 69,3
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,65 - 69,2215
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,65 - 69,2203
