province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,4256,3.01,314,0.22,10
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,35551,25.17,314,0.22,87
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,9 AND MORE,53767,38.06,314,0.22,110
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,9 AND MORE,43105,30.52,314,0.22,95
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,4578,3.24,314,0.22,12
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,1,1168,4.6,15692,61.77,582
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,1,4668,18.37,15692,61.77,3148
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,1,8339,32.82,15692,61.77,5142
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,1,9974,39.26,15692,61.77,6036
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,1,1256,4.94,15692,61.77,784
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,2,1168,4.6,5750,22.63,308
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,2,4668,18.37,5750,22.63,931
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,2,8339,32.82,5750,22.63,1848
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,2,9974,39.26,5750,22.63,2396
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,2,1256,4.94,5750,22.63,267
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,3,1168,4.6,2207,8.69,122
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,3,4668,18.37,2207,8.69,341
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,3,8339,32.82,2207,8.69,744
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,3,9974,39.26,2207,8.69,892
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,3,1256,4.94,2207,8.69,108
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,4,1168,4.6,898,3.53,66
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,4,4668,18.37,898,3.53,119
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,4,8339,32.82,898,3.53,325
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,4,9974,39.26,898,3.53,343
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,4,1256,4.94,898,3.53,45
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,5,1168,4.6,344,1.35,23
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,5,4668,18.37,344,1.35,52
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,5,8339,32.82,344,1.35,100
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,5,9974,39.26,344,1.35,143
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,5,1256,4.94,344,1.35,26
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,6,1168,4.6,161,0.63,15
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,6,4668,18.37,161,0.63,16
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,6,8339,32.82,161,0.63,58
