province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,715
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,WALL,UNBAKED BRICKS/MUD,2500,18.74,52
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,WALL,WOOD/BAMBOO,130,0.97,5
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,WALL,OTHERS,638,4.78,23
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,ROOF,RCC/RBC,3775,28.29,367
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,ROOF,CEMENT/IRON SHEETS,675,5.06,117
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,ROOF,GARDER/T.IRON,6559,49.15,261
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,ROOF,WOOD/BAMBOO,1989,14.91,29
FATA,035,FR KOHAT,FR KOHAT,RURAL,LESS THAN 5 YEARS,795,5.96,ROOF,OTHERS,346,2.59,21
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,1672
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,WALL,UNBAKED BRICKS/MUD,2500,18.74,351
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,WALL,WOOD/BAMBOO,130,0.97,19
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,WALL,OTHERS,638,4.78,43
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,ROOF,RCC/RBC,3775,28.29,697
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,ROOF,CEMENT/IRON SHEETS,675,5.06,139
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,ROOF,GARDER/T.IRON,6559,49.15,1053
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,ROOF,WOOD/BAMBOO,1989,14.91,165
FATA,035,FR KOHAT,FR KOHAT,RURAL,5-10 YEARS,2085,15.63,ROOF,OTHERS,346,2.59,31
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,6862
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,WALL,UNBAKED BRICKS/MUD,2500,18.74,1811
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,WALL,WOOD/BAMBOO,130,0.97,89
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,WALL,OTHERS,638,4.78,528
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,ROOF,RCC/RBC,3775,28.29,2451
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,ROOF,CEMENT/IRON SHEETS,675,5.06,365
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,ROOF,GARDER/T.IRON,6559,49.15,4730
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,ROOF,WOOD/BAMBOO,1989,14.91,1483
FATA,035,FR KOHAT,FR KOHAT,RURAL,11-50 YEARS,9290,69.62,ROOF,OTHERS,346,2.59,261
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,444
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,WALL,UNBAKED BRICKS/MUD,2500,18.74,253
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,WALL,WOOD/BAMBOO,130,0.97,16
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,WALL,OTHERS,638,4.78,20
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,ROOF,RCC/RBC,3775,28.29,69
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,ROOF,CEMENT/IRON SHEETS,675,5.06,29
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,ROOF,GARDER/T.IRON,6559,49.15,349
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,ROOF,WOOD/BAMBOO,1989,14.91,270
FATA,035,FR KOHAT,FR KOHAT,RURAL,OVER 50 YEARS,733,5.49,ROOF,OTHERS,346,2.59,16
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,WALL,BAKED BRICKS/BLOCKS/STONES,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,WALL,UNBAKED BRICKS/MUD,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,WALL,WOOD/BAMBOO,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,WALL,OTHERS,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,ROOF,RCC/RBC,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,ROOF,CEMENT/IRON SHEETS,NA,NA,0
FATA,035,FR KOHAT,FR KOHAT,URBAN,UNDER CONSTRUCTION,NA,NA,ROOF,GARDER/T.IRON,NA,NA,0
