province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"2,000 - 4,999",4,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"1,000 - 1,999",12,ALL SEXES,17796
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"1,000 - 1,999",12,MALE,9141
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"1,000 - 1,999",12,FEMALE,8655
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"1,000 - 1,999",12,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,500 - 999,42,ALL SEXES,30556
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,500 - 999,42,MALE,15747
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,500 - 999,42,FEMALE,14809
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,500 - 999,42,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,200 - 499,56,ALL SEXES,19016
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,200 - 499,56,MALE,9903
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,200 - 499,56,FEMALE,9113
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,200 - 499,56,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,LESS THAN 200,110,ALL SEXES,8840
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,LESS THAN 200,110,MALE,4634
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,LESS THAN 200,110,FEMALE,4206
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,LESS THAN 200,110,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,UN-INHABITED,17,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,UN-INHABITED,17,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,UN-INHABITED,17,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,UN-INHABITED,17,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,TOTAL,60,ALL SEXES,65678
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,TOTAL,60,MALE,34177
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,TOTAL,60,FEMALE,31500
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,TOTAL,60,TRANSGENDER,1
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"5,000 AND ABOVE",0,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"5,000 AND ABOVE",0,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"5,000 AND ABOVE",0,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"5,000 AND ABOVE",0,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"2,000 - 4,999",10,ALL SEXES,31805
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"2,000 - 4,999",10,MALE,16633
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"2,000 - 4,999",10,FEMALE,15171
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"2,000 - 4,999",10,TRANSGENDER,1
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"1,000 - 1,999",16,ALL SEXES,21480
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"1,000 - 1,999",16,MALE,11111
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"1,000 - 1,999",16,FEMALE,10369
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,"1,000 - 1,999",16,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,500 - 999,9,ALL SEXES,6945
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,500 - 999,9,MALE,3638
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,500 - 999,9,FEMALE,3307
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,500 - 999,9,TRANSGENDER,0
