province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SPOUSE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SON/DAUGHTER,ALL SEXES,12665
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SON/DAUGHTER,MALE,10884
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SON/DAUGHTER,FEMALE,1781
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SON/DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,DAUGHTER/SON IN LAW,ALL SEXES,12365
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,DAUGHTER/SON IN LAW,MALE,1102
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,DAUGHTER/SON IN LAW,FEMALE,11263
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,ALL SEXES,253
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,MALE,154
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,FEMALE,99
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,FATHER/MOTHER,ALL SEXES,4101
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,FATHER/MOTHER,MALE,1775
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,FATHER/MOTHER,FEMALE,2326
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,FATHER/MOTHER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,BROTHER/SISTER,ALL SEXES,6724
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,BROTHER/SISTER,MALE,5920
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,BROTHER/SISTER,FEMALE,804
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,BROTHER/SISTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,OTHER RELATIVE,ALL SEXES,11085
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,OTHER RELATIVE,MALE,3547
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,OTHER RELATIVE,FEMALE,7538
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,OTHER RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,NON-RELATIVE,ALL SEXES,3248
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,NON-RELATIVE,MALE,2091
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,NON-RELATIVE,FEMALE,1157
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,NON-RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,HEAD,ALL SEXES,5652
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,HEAD,MALE,2551
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,HEAD,FEMALE,3101
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,HEAD,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SPOUSE,ALL SEXES,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SPOUSE,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SPOUSE,FEMALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SPOUSE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SON/DAUGHTER,ALL SEXES,627
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SON/DAUGHTER,MALE,242
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SON/DAUGHTER,FEMALE,385
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,SON/DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,DAUGHTER/SON IN LAW,ALL SEXES,141
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,DAUGHTER/SON IN LAW,MALE,15
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,DAUGHTER/SON IN LAW,FEMALE,126
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,GRAND SON/GRAND DAUGHTER,ALL SEXES,5
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,GRAND SON/GRAND DAUGHTER,MALE,1
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,GRAND SON/GRAND DAUGHTER,FEMALE,4
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,FATHER/MOTHER,ALL SEXES,6650
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,FATHER/MOTHER,MALE,565
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,FATHER/MOTHER,FEMALE,6085
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,FATHER/MOTHER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,BROTHER/SISTER,ALL SEXES,787
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,BROTHER/SISTER,MALE,292
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,BROTHER/SISTER,FEMALE,495
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,BROTHER/SISTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,OTHER RELATIVE,ALL SEXES,1645
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,OTHER RELATIVE,MALE,297
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,OTHER RELATIVE,FEMALE,1348
