adm_lvl_1,adm_lvl_2,adm_lvl_3,adm_lvl_4,prelim_total,final_total,difference
BALOCHISTAN,NA,LORALAI DISTRICT,MEKHTAR SUB-TEHSIL,40838,40867,29
BALOCHISTAN,NA,MASTUNG DISTRICT,DASHT TEHSIL,64768,64765,-3
BALOCHISTAN,NA,MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,39060,38860,-200
BALOCHISTAN,NA,MASTUNG DISTRICT,KIRDGAP SUB-TEHSIL,28650,28624,-26
BALOCHISTAN,NA,MASTUNG DISTRICT,MASTUNG TEHSIL,133983,133427,-556
BALOCHISTAN,NA,MUSAKHEL DISTRICT,DRUG TEHSIL,37515,37599,84
BALOCHISTAN,NA,MUSAKHEL DISTRICT,KINGRI TEHSIL,31237,31339,102
BALOCHISTAN,NA,MUSAKHEL DISTRICT,MUSAKHEL TEHSIL,98265,98305,40
BALOCHISTAN,NA,NASIRABAD,BABA KOT TEHSIL,49459,49480,21
BALOCHISTAN,NA,NASIRABAD,CHATTAR SUB-TEHSIL,75330,76536,1206
BALOCHISTAN,NA,NASIRABAD,DERA MURAD JAMALI TEHSIL,234581,230775,-3806
BALOCHISTAN,NA,NASIRABAD,TAMBOO TEHSIL,131168,131056,-112
BALOCHISTAN,NA,NUSHKI DISTRICT,NUSHKI TEHSIL,178796,178947,151
BALOCHISTAN,NA,PANJGUR DISTRICT,GICHK SUB-TEHSIL,16501,16646,145
BALOCHISTAN,NA,PANJGUR DISTRICT,GOWARGO TEHSIL,16140,16329,189
BALOCHISTAN,NA,PANJGUR DISTRICT,PANJGUR TEHSIL,260852,259163,-1689
BALOCHISTAN,NA,PANJGUR DISTRICT,PAROME TEHSIL,22892,23215,323
BALOCHISTAN,NA,PISHIN DISTRICT,BARSHORE SUB-TEHSIL,103606,103423,-183
BALOCHISTAN,NA,PISHIN DISTRICT,HARAM ZAI SUB-TEHSIL,132168,132102,-66
BALOCHISTAN,NA,PISHIN DISTRICT,KAREZAT SUB-TEHSIL,138280,137466,-814
BALOCHISTAN,NA,PISHIN DISTRICT,PISHIN TEHSIL,306177,307610,1433
BALOCHISTAN,NA,PISHIN DISTRICT,SARANAN TEHSIL,56250,56302,52
BALOCHISTAN,NA,QUETTA DISTRICT,PANJ PAI SUB-TEHSIL,20726,19011,-1715
BALOCHISTAN,NA,QUETTA DISTRICT,QUETTA CITY TEHSIL,1726199,1722746,-3453
BALOCHISTAN,NA,QUETTA DISTRICT,QUETTA SADDAR TEHSIL,528774,527716,-1058
BALOCHISTAN,NA,SHERANI DISTRICT,SHERANI SUB-DIVISION,153116,152952,-164
BALOCHISTAN,NA,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,7587,7583,-4
BALOCHISTAN,NA,SIBI DISTRICT,SANGAN SUB-TEHSIL,2665,2665,0
BALOCHISTAN,NA,SIBI DISTRICT,SIBI TEHSIL,125320,125013,-307
BALOCHISTAN,NA,SOHBATPUR DISTRICT,FARIDABAD TEHSIL,58232,58204,-28
BALOCHISTAN,NA,SOHBATPUR DISTRICT,SANHRI TEHSIL,88881,88788,-93
BALOCHISTAN,NA,SOHBATPUR DISTRICT,SOHBATPUR TEHSIL,53425,53434,9
BALOCHISTAN,NA,WASHUK DISTRICT,BESIMA SUB-TEHSIL,40420,40266,-154
BALOCHISTAN,NA,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,38657,38634,-23
BALOCHISTAN,NA,WASHUK DISTRICT,NAG SUB-TEHSIL,34269,34477,208
BALOCHISTAN,NA,WASHUK DISTRICT,SHAHOO GARHI SUB-TEHSIL,27616,27548,-68
BALOCHISTAN,NA,WASHUK DISTRICT,WASHUK SUB-TEHSIL,35244,34787,-457
BALOCHISTAN,NA,ZHOB DISTRICT,ASHWAT SUB-TEHSIL,20794,20768,-26
BALOCHISTAN,NA,ZHOB DISTRICT,KASHATOO SUB-TEHSIL,5180,5184,4
BALOCHISTAN,NA,ZHOB DISTRICT,QAMAR DIN KAREZ TEHSIL,13849,13831,-18
BALOCHISTAN,NA,ZHOB DISTRICT,SAMBAZA SUB-TEHSIL,17089,17465,376
BALOCHISTAN,NA,ZHOB DISTRICT,ZHOB TEHSIL,253632,253106,-526
BALOCHISTAN,NA,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,92561,92497,-64
BALOCHISTAN,NA,ZIARAT DISTRICT,ZIARAT TEHSIL,67861,67598,-263
FATA,NA,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,2868,2868,0
FATA,NA,BAJAUR AGENCY,BARANG TEHSIL,76558,76493,-65
FATA,NA,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,247510,246875,-635
FATA,NA,BAJAUR AGENCY,MAMUND TEHSIL,311873,311373,-500
FATA,NA,BAJAUR AGENCY,NAWAGAI TEHSIL,79002,78494,-508
FATA,NA,BAJAUR AGENCY,SALARZAI TEHSIL,268517,267636,-881
FATA,NA,BAJAUR AGENCY,UTMAN KHEL TEHSIL,107356,107248,-108
FATA,NA,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,43114,43112,-2
FATA,NA,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,68556,68506,-50
FATA,NA,FR KOHAT,TRIBAL AREA ADJ. KOHAT DISTRICT,118578,118839,261
FATA,NA,FR LAKKI MARWAT,TRIBAL AREA ADJ. LAKKI MARWAT DISTRICT,26359,26394,35
FATA,NA,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,64691,64761,70
FATA,NA,FR TANK,TRIBAL AREA ADJ. TANK DISTRICT,36389,36418,29
FATA,NA,KHYBER AGENCY,BARA TEHSIL,444403,443449,-954
FATA,NA,KHYBER AGENCY,JAMRUD TEHSIL,228001,227557,-444
FATA,NA,KHYBER AGENCY,LANDI KOTAL TEHSIL,274409,273052,-1357
FATA,NA,KHYBER AGENCY,MULLA GORI TEHSIL,40160,40188,28
FATA,NA,KURRAM AGENCY,CENTRAL KURRAM F.R,229356,229007,-349
FATA,NA,KURRAM AGENCY,LOWER KURRAM TEHSIL,136719,133929,-2790
FATA,NA,KURRAM AGENCY,UPPER KURRAM TEHSIL,253478,252436,-1042
FATA,NA,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,62109,61951,-158
FATA,NA,MOHMAND AGENCY,HALIM ZAI TEHSIL,78749,78705,-44
FATA,NA,MOHMAND AGENCY,PINDIALI TEHSIL,88363,89711,1348
FATA,NA,MOHMAND AGENCY,PRANG GHAR TEHSIL,35290,36569,1279
FATA,NA,MOHMAND AGENCY,SAFI TEHSIL,99114,98501,-613
FATA,NA,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,51068,51154,86
FATA,NA,MOHMAND AGENCY,YAKE GHUND TEHSIL,52291,57754,5463
FATA,NA,NORTH WAZIRISTAN AGENCY,DATTA KHEL TEHSIL,75116,75003,-113
FATA,NA,NORTH WAZIRISTAN AGENCY,DOSSALI TEHSIL,39821,39945,124
FATA,NA,NORTH WAZIRISTAN AGENCY,GHARYUM TEHSIL,11780,11811,31
FATA,NA,NORTH WAZIRISTAN AGENCY,GHULAM KHAN TEHSIL,27171,27015,-156
FATA,NA,NORTH WAZIRISTAN AGENCY,MIR ALI TEHSIL,185525,184986,-539
FATA,NA,NORTH WAZIRISTAN AGENCY,MIRAN SHAH TEHSIL,100680,100644,-36
FATA,NA,NORTH WAZIRISTAN AGENCY,RAZMAK TEHSIL,17629,15681,-1948
FATA,NA,NORTH WAZIRISTAN AGENCY,SHEWA TEHSIL,39349,39290,-59
FATA,NA,NORTH WAZIRISTAN AGENCY,SPINWAM TEHSIL,46183,46171,-12
FATA,NA,ORAKZAI AGENCY,CENTRAL TEHSIL,59122,59132,10
FATA,NA,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,23965,23963,-2
FATA,NA,ORAKZAI AGENCY,LOWER TEHSIL,107397,107323,-74
FATA,NA,ORAKZAI AGENCY,UPPER TEHSIL,63872,63885,13
FATA,NA,SOUTH WAZIRISTAN AGENCY,BIRMIL TEHSIL,104304,104282,-22
FATA,NA,SOUTH WAZIRISTAN AGENCY,LADHA TEHSIL,109710,110842,1132
FATA,NA,SOUTH WAZIRISTAN AGENCY,MAKIN TEHSIL,58700,58646,-54
FATA,NA,SOUTH WAZIRISTAN AGENCY,SARAROGHA TEHSIL,98389,98180,-209
FATA,NA,SOUTH WAZIRISTAN AGENCY,SERWEKAI TEHSIL,54278,54540,262
FATA,NA,SOUTH WAZIRISTAN AGENCY,TIARZA TEHSIL,45210,45156,-54
FATA,NA,SOUTH WAZIRISTAN AGENCY,TOI KHULLA TEHSIL,50593,50413,-180
FATA,NA,SOUTH WAZIRISTAN AGENCY,WANA TEHSIL,152881,153156,275
FEDERAL CAPITAL,NA,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,2001579,2003368,1789
KHYBER PAKHTUNKHWA,BANNU,BANNU DISTRICT,BANNU TEHSIL,958504,958103,-401
KHYBER PAKHTUNKHWA,BANNU,BANNU DISTRICT,DOMEL TEHSIL,209388,208968,-420
KHYBER PAKHTUNKHWA,BANNU,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,579274,578874,-400
KHYBER PAKHTUNKHWA,BANNU,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,296908,296870,-38
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,123933,124318,385
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,724895,725449,554
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,101854,101892,38
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,383984,381086,-2898
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,292466,292343,-123
KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN,TANK DISTRICT,TANK TEHSIL,391885,390626,-1259
KHYBER PAKHTUNKHWA,HAZARA,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,981590,982837,1247
KHYBER PAKHTUNKHWA,HAZARA,ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,351322,350252,-1070
KHYBER PAKHTUNKHWA,HAZARA,BATAGRAM DISTRICT,ALLAI TEHSIL,180414,180502,88
KHYBER PAKHTUNKHWA,HAZARA,BATAGRAM DISTRICT,BATAGRAM TEHSIL,296198,296247,49
KHYBER PAKHTUNKHWA,HAZARA,HARIPUR DISTRICT,GHAZI TEHSIL,145367,144917,-450
KHYBER PAKHTUNKHWA,HAZARA,HARIPUR DISTRICT,HARIPUR TEHSIL,857664,856598,-1066
KHYBER PAKHTUNKHWA,HAZARA,KOHISTAN DISTRICT,DASSU SUB-DIVISION,222282,228350,6068
KHYBER PAKHTUNKHWA,HAZARA,KOHISTAN DISTRICT,KANDIA SUB-DIVISION,84055,77101,-6954
KHYBER PAKHTUNKHWA,HAZARA,KOHISTAN DISTRICT,PALAS SUB-DIVISION,275461,276325,864
KHYBER PAKHTUNKHWA,HAZARA,KOHISTAN DISTRICT,PATTAN SUB-DIVISION,202913,202935,22
KHYBER PAKHTUNKHWA,HAZARA,MANSEHRA DISTRICT,BALA KOT TEHSIL,273089,273257,168
KHYBER PAKHTUNKHWA,HAZARA,MANSEHRA DISTRICT,MANSEHRA TEHSIL,1017643,1017521,-122
KHYBER PAKHTUNKHWA,HAZARA,MANSEHRA DISTRICT,OGHI TEHSIL,265728,264964,-764
KHYBER PAKHTUNKHWA,HAZARA,TORGHAR DISTRICT,JUDBA TEHSIL,96757,96888,131
KHYBER PAKHTUNKHWA,HAZARA,TORGHAR DISTRICT,KHANDER TEHSIL,74638,74461,-177
KHYBER PAKHTUNKHWA,KOHAT,HANGU DISTRICT,HANGU TEHSIL,270295,270399,104
KHYBER PAKHTUNKHWA,KOHAT,HANGU DISTRICT,TALL TEHSIL,248503,248412,-91
KHYBER PAKHTUNKHWA,KOHAT,KARAK DISTRICT,BANDA DAUD SHAH TEHSIL,155642,155482,-160
KHYBER PAKHTUNKHWA,KOHAT,KARAK DISTRICT,KARAK TEHSIL,293520,292829,-691
KHYBER PAKHTUNKHWA,KOHAT,KARAK DISTRICT,TAKHT-E-NASRATI TEHSIL,257137,257051,-86
KHYBER PAKHTUNKHWA,KOHAT,KOHAT DISTRICT,KOHAT TEHSIL,850336,848997,-1339
KHYBER PAKHTUNKHWA,KOHAT,KOHAT DISTRICT,LACHI TEHSIL,143538,143430,-108
KHYBER PAKHTUNKHWA,MALAKAND,BUNER DISTRICT,DAGGAR TEHSIL,355692,354809,-883
KHYBER PAKHTUNKHWA,MALAKAND,BUNER DISTRICT,GAGRA TEHSIL,270467,269971,-496
KHYBER PAKHTUNKHWA,MALAKAND,BUNER DISTRICT,KHADO KHEL TEHSIL,118185,118072,-113
KHYBER PAKHTUNKHWA,MALAKAND,BUNER DISTRICT,MANDANR TEHSIL,152975,152608,-367
KHYBER PAKHTUNKHWA,MALAKAND,CHITRAL DISTRICT,CHITRAL SUB-DIVISION,278122,278328,206
KHYBER PAKHTUNKHWA,MALAKAND,CHITRAL DISTRICT,MASTUJ SUB-DIVISION,169240,169297,57
KHYBER PAKHTUNKHWA,MALAKAND,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,317504,317526,22
KHYBER PAKHTUNKHWA,MALAKAND,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,219067,219567,500
KHYBER PAKHTUNKHWA,MALAKAND,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,378608,378004,-604
KHYBER PAKHTUNKHWA,MALAKAND,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,520738,520985,247
KHYBER PAKHTUNKHWA,MALAKAND,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,304112,303644,-468
KHYBER PAKHTUNKHWA,MALAKAND,MALAKAND PROTECTED AREA,SWAT RANI ZAI SUB-DIVISION,416183,414162,-2021
KHYBER PAKHTUNKHWA,MALAKAND,SHANGLA DISTRICT,ALPURI TEHSIL,506718,508361,1643
KHYBER PAKHTUNKHWA,MALAKAND,SHANGLA DISTRICT,BISHAM TEHSIL,105890,105950,60
KHYBER PAKHTUNKHWA,MALAKAND,SHANGLA DISTRICT,PURAN TEHSIL,145202,145298,96
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,BABUZAI TEHSIL,599040,599324,284
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,BARIKOT TEHSIL,184000,183777,-223
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,BEHRAIN TEHSIL,248474,248422,-52
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,CHARBAGH TEHSIL,126115,126001,-114
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,KABAL TEHSIL,420374,420001,-373
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,KHAWAZAKHELA TEHSIL,265571,265500,-71
KHYBER PAKHTUNKHWA,MALAKAND,SWAT DISTRICT,MATTA TEHSIL,465996,465599,-397
KHYBER PAKHTUNKHWA,MALAKAND,UPPER DIR DISTRICT,DIR SUB-DIVISION,439577,439525,-52
KHYBER PAKHTUNKHWA,MALAKAND,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,185037,185121,84
KHYBER PAKHTUNKHWA,MALAKAND,UPPER DIR DISTRICT,WARI SUB-DIVISION,321807,322755,948
KHYBER PAKHTUNKHWA,MARDAN,MARDAN DISTRICT,KATLANG TEHSIL,343144,343225,81
KHYBER PAKHTUNKHWA,MARDAN,MARDAN DISTRICT,MARDAN TEHSIL,1403394,1403002,-392
KHYBER PAKHTUNKHWA,MARDAN,MARDAN DISTRICT,TAKHT BHAI TEHSIL,626523,627172,649
KHYBER PAKHTUNKHWA,MARDAN,SWABI DISTRICT,LAHOR TEHSIL,306168,305782,-386
KHYBER PAKHTUNKHWA,MARDAN,SWABI DISTRICT,RAZAR TEHSIL,583936,584876,940
KHYBER PAKHTUNKHWA,MARDAN,SWABI DISTRICT,SWABI TEHSIL,406212,406321,109
KHYBER PAKHTUNKHWA,MARDAN,SWABI DISTRICT,TOPI TEHSIL,328300,328498,198
KHYBER PAKHTUNKHWA,PESHAWAR,CHARSADDA DISTRICT,CHARSADDA TEHSIL,804194,804843,649
KHYBER PAKHTUNKHWA,PESHAWAR,CHARSADDA DISTRICT,SHABQADAR TEHSIL,383765,379952,-3813
KHYBER PAKHTUNKHWA,PESHAWAR,CHARSADDA DISTRICT,TANGI TEHSIL,428239,426165,-2074
KHYBER PAKHTUNKHWA,PESHAWAR,NOWSHERA,JEHANGIRA TEHSIL,353490,353764,274
KHYBER PAKHTUNKHWA,PESHAWAR,NOWSHERA,NOWSHERA TEHSIL,727749,728815,1066
KHYBER PAKHTUNKHWA,PESHAWAR,NOWSHERA,PABBI TEHSIL,437301,438416,1115
KHYBER PAKHTUNKHWA,PESHAWAR,PESHAWAR DISTRICT,PESHAWAR TEHSIL,4269079,4267198,-1881
PUNJAB,BAHAWALPUR,BAHAWALNAGAR DISTRICT,BAHAWALNAGAR TEHSIL,815143,813390,-1753
PUNJAB,BAHAWALPUR,BAHAWALNAGAR DISTRICT,CHISHTIAN TEHSIL,691221,689766,-1455
PUNJAB,BAHAWALPUR,BAHAWALNAGAR DISTRICT,FORT ABBAS TEHSIL,423529,422768,-761
PUNJAB,BAHAWALPUR,BAHAWALNAGAR DISTRICT,HAROONABAD TEHSIL,525598,524715,-883
PUNJAB,BAHAWALPUR,BAHAWALNAGAR DISTRICT,MINCHINABAD TEHSIL,526428,525017,-1411
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,AHMADPUR EAST TEHSIL,1078683,1078586,-97
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,BAHAWALPUR CITY TEHSIL,681696,682116,420
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,BAHAWALPUR SADDAR TEHSIL,574950,575886,936
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,HASILPUR TEHSIL,456006,456360,354
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,KHAIRPUR TAMEWALI TEHSIL,262628,262923,295
PUNJAB,BAHAWALPUR,BAHAWALPUR DISTRICT,YAZMAN TEHSIL,614143,613305,-838
PUNJAB,BAHAWALPUR,RAHIM YAR KHAN DISTRICT,KHANPUR TEHSIL,983415,982085,-1330
PUNJAB,BAHAWALPUR,RAHIM YAR KHAN DISTRICT,LIAQUATPUR TEHSIL,1035509,1033906,-1603
PUNJAB,BAHAWALPUR,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN TEHSIL,1530330,1530183,-147
