province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,INSIDE WATER,PROTECTED WELL,390,0.1,231
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,INSIDE WATER,UN-PROTECTED WELL,342,0.09,223
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,INSIDE WATER,OTHERS,6468,1.7,4252
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,TAP,17792,4.69,11269
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,ELECTRIC/HAND PUMP,22891,6.03,13589
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,PROTECTED WELL,35,0.01,21
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,UN-PROTECTED WELL,76,0.02,51
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,SPRING,60,0.02,29
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,CANAL/RIVER/POND,21,0.01,12
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,OUTSIDE WATER,OTHERS,4294,1.13,2854
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,COOKING FUEL,WOOD,176375,46.48,105675
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,COOKING FUEL,GAS,179338,47.26,109095
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,COOKING FUEL,KEROSENE OIL,241,0.06,104
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,COOKING FUEL,OTHERS,23545,6.2,13989
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LIGHTING SOURCE,ELECTRICITY,375682,98.99,227274
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LIGHTING SOURCE,KEROSENE OIL,1820,0.48,848
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LIGHTING SOURCE,GAS LAMP,84,0.02,34
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LIGHTING SOURCE,OTHERS,1913,0.5,707
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,INSIDE WATER,TAP,56660,14.93,1478
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,INSIDE WATER,ELECTRIC/HAND PUMP,270470,71.27,4153
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,INSIDE WATER,PROTECTED WELL,390,0.1,10
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,INSIDE WATER,UN-PROTECTED WELL,342,0.09,11
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,INSIDE WATER,OTHERS,6468,1.7,228
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,TAP,17792,4.69,510
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,ELECTRIC/HAND PUMP,22891,6.03,534
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,PROTECTED WELL,35,0.01,1
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,UN-PROTECTED WELL,76,0.02,2
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,SPRING,60,0.02,1
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,OUTSIDE WATER,CANAL/RIVER/POND,21,0.01,0
