province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,7,11189,2.56,2.81,8809,2.02,7.79,212
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,7,25322,5.8,2.79,8809,2.02,7.79,356
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,7,37991,8.69,2.84,8809,2.02,7.79,467
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,7,56559,12.94,2.9,8809,2.02,7.79,780
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,7,71193,16.29,3,8809,2.02,7.79,1072
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,7,69424,15.89,3.08,8809,2.02,7.79,1140
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,7,52439,12,3.2,8809,2.02,7.79,996
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,7,35804,8.19,3.39,8809,2.02,7.79,778
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,7,23291,5.33,3.59,8809,2.02,7.79,600
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,53740,12.3,4.28,8809,2.02,7.79,2408
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,8,11189,2.56,2.81,6711,1.54,8.2,140
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,8,25322,5.8,2.79,6711,1.54,8.2,280
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,8,37991,8.69,2.84,6711,1.54,8.2,387
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,8,56559,12.94,2.9,6711,1.54,8.2,546
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,8,71193,16.29,3,6711,1.54,8.2,703
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,8,69424,15.89,3.08,6711,1.54,8.2,738
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,8,52439,12,3.2,6711,1.54,8.2,674
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,8,35804,8.19,3.39,6711,1.54,8.2,649
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,8,23291,5.33,3.59,6711,1.54,8.2,478
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,53740,12.3,4.28,6711,1.54,8.2,2116
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,9 AND MORE,11189,2.56,2.81,8669,1.98,8.76,263
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,9 AND MORE,25322,5.8,2.79,8669,1.98,8.76,393
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,9 AND MORE,37991,8.69,2.84,8669,1.98,8.76,466
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,9 AND MORE,56559,12.94,2.9,8669,1.98,8.76,640
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,9 AND MORE,71193,16.29,3,8669,1.98,8.76,822
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,9 AND MORE,69424,15.89,3.08,8669,1.98,8.76,902
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,9 AND MORE,52439,12,3.2,8669,1.98,8.76,762
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,9 AND MORE,35804,8.19,3.39,8669,1.98,8.76,710
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,9 AND MORE,23291,5.33,3.59,8669,1.98,8.76,579
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,53740,12.3,4.28,8669,1.98,8.76,3132
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,1,7710,2.53,2.86,34627,11.35,4.97,1897
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,1,17303,5.67,2.79,34627,11.35,4.97,3393
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,1,26013,8.52,2.83,34627,11.35,4.97,4340
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,1,38617,12.65,2.91,34627,11.35,4.97,5572
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,1,48484,15.89,2.98,34627,11.35,4.97,6263
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,1,48204,15.79,3.07,34627,11.35,4.97,5305
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,1,37424,12.26,3.19,34627,11.35,4.97,3496
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,1,26002,8.52,3.37,34627,11.35,4.97,2010
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,1,16971,5.56,3.57,34627,11.35,4.97,1073
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,1,38459,12.6,4.29,34627,11.35,4.97,1278
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,2,7710,2.53,2.86,88763,29.08,5.63,2332
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,2,17303,5.67,2.79,88763,29.08,5.63,5959
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,2,26013,8.52,2.83,88763,29.08,5.63,8737
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,2,38617,12.65,2.91,88763,29.08,5.63,12855
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,2,48484,15.89,2.98,88763,29.08,5.63,15534
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,2,48204,15.79,3.07,88763,29.08,5.63,15157
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,2,37424,12.26,3.19,88763,29.08,5.63,11135
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,2,26002,8.52,3.37,88763,29.08,5.63,7107
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,2,16971,5.56,3.57,88763,29.08,5.63,4099
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,2,38459,12.6,4.29,88763,29.08,5.63,5848
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,3,7710,2.53,2.86,76627,25.11,6.18,1425
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,3,17303,5.67,2.79,76627,25.11,6.18,3778
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,3,26013,8.52,2.83,76627,25.11,6.18,6243
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,3,38617,12.65,2.91,76627,25.11,6.18,9719
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,3,48484,15.89,2.98,76627,25.11,6.18,12710
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,3,48204,15.79,3.07,76627,25.11,6.18,12902
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,3,37424,12.26,3.19,76627,25.11,6.18,10142
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,3,26002,8.52,3.37,76627,25.11,6.18,6940
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,3,16971,5.56,3.57,76627,25.11,6.18,4333
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,3,38459,12.6,4.29,76627,25.11,6.18,8435
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,4,7710,2.53,2.86,51781,16.97,6.77,851
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,4,17303,5.67,2.79,51781,16.97,6.77,2024
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,4,26013,8.52,2.83,51781,16.97,6.77,3686
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,4,38617,12.65,2.91,51781,16.97,6.77,5712
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,4,48484,15.89,2.98,51781,16.97,6.77,7542
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,4,48204,15.79,3.07,51781,16.97,6.77,7990
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,4,37424,12.26,3.19,51781,16.97,6.77,6718
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,4,26002,8.52,3.37,51781,16.97,6.77,4979
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,4,16971,5.56,3.57,51781,16.97,6.77,3592
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4,38459,12.6,4.29,51781,16.97,6.77,8687
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,5,7710,2.53,2.86,22681,7.43,7.23,399
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,5,17303,5.67,2.79,22681,7.43,7.23,891
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,5,26013,8.52,2.83,22681,7.43,7.23,1375
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,5,38617,12.65,2.91,22681,7.43,7.23,2232
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,5,48484,15.89,2.98,22681,7.43,7.23,3072
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,5,48204,15.79,3.07,22681,7.43,7.23,3183
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,5,37424,12.26,3.19,22681,7.43,7.23,2715
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,5,26002,8.52,3.37,22681,7.43,7.23,2231
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,5,16971,5.56,3.57,22681,7.43,7.23,1621
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,5,38459,12.6,4.29,22681,7.43,7.23,4962
