province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,6,1087,2.6,1161,2.77,7
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,7,36477,87.18,525,1.25,496
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,7,4278,10.22,525,1.25,26
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,7,1087,2.6,525,1.25,3
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,8,36477,87.18,298,0.71,287
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,8,4278,10.22,298,0.71,11
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,8,1087,2.6,298,0.71,0
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,9,36477,87.18,477,1.14,448
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,9,4278,10.22,477,1.14,21
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,9,1087,2.6,477,1.14,8
