province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,3463,14.56,BAKED BRICKS/BLOCKS/STONES,6169,25.94,395
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,3463,14.56,UNBAKED BRICKS/MUD,4852,20.4,1681
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,3463,14.56,WOOD/BAMBOO,1844,7.75,66
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,3463,14.56,OTHERS,1418,5.96,8
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,3463,14.56,BAKED BRICKS/BLOCKS/STONES,1446,6.08,28
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,3463,14.56,UNBAKED BRICKS/MUD,905,3.8,130
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,3463,14.56,WOOD/BAMBOO,139,0.58,6
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,3463,14.56,OTHERS,596,2.51,2
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,17282,72.66,BAKED BRICKS/BLOCKS/STONES,84,0.35,45
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,17282,72.66,UNBAKED BRICKS/MUD,97,0.41,65
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,17282,72.66,WOOD/BAMBOO,30,0.13,29
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,17282,72.66,OTHERS,30,0.13,9
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,17282,72.66,BAKED BRICKS/BLOCKS/STONES,404,1.7,316
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,17282,72.66,UNBAKED BRICKS/MUD,622,2.62,485
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,17282,72.66,WOOD/BAMBOO,179,0.75,164
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,17282,72.66,OTHERS,34,0.14,8
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,17282,72.66,BAKED BRICKS/BLOCKS/STONES,1738,7.31,1376
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,17282,72.66,UNBAKED BRICKS/MUD,2491,10.47,1806
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,17282,72.66,WOOD/BAMBOO,536,2.25,477
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,17282,72.66,OTHERS,171,0.72,43
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,WOOD/BAMBOO,17282,72.66,BAKED BRICKS/BLOCKS/STONES,6169,25.94,5251
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,WOOD/BAMBOO,17282,72.66,UNBAKED BRICKS/MUD,4852,20.4,2872
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,WOOD/BAMBOO,17282,72.66,WOOD/BAMBOO,1844,7.75,1721
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,WOOD/BAMBOO,17282,72.66,OTHERS,1418,5.96,314
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,WOOD/BAMBOO,17282,72.66,BAKED BRICKS/BLOCKS/STONES,1446,6.08,1370
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,WOOD/BAMBOO,17282,72.66,UNBAKED BRICKS/MUD,905,3.8,691
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,WOOD/BAMBOO,17282,72.66,WOOD/BAMBOO,139,0.58,121
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,WOOD/BAMBOO,17282,72.66,OTHERS,596,2.51,119
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,OTHERS,2284,9.6,BAKED BRICKS/BLOCKS/STONES,84,0.35,5
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,OTHERS,2284,9.6,UNBAKED BRICKS/MUD,97,0.41,5
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,OTHERS,2284,9.6,WOOD/BAMBOO,30,0.13,1
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,OTHERS,2284,9.6,OTHERS,30,0.13,21
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,OTHERS,2284,9.6,BAKED BRICKS/BLOCKS/STONES,404,1.7,5
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,OTHERS,2284,9.6,UNBAKED BRICKS/MUD,622,2.62,10
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,OTHERS,2284,9.6,WOOD/BAMBOO,179,0.75,2
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,OTHERS,2284,9.6,OTHERS,34,0.14,25
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,OTHERS,2284,9.6,BAKED BRICKS/BLOCKS/STONES,1738,7.31,51
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,OTHERS,2284,9.6,UNBAKED BRICKS/MUD,2491,10.47,41
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,OTHERS,2284,9.6,WOOD/BAMBOO,536,2.25,15
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,OTHERS,2284,9.6,OTHERS,171,0.72,125
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,OTHERS,2284,9.6,BAKED BRICKS/BLOCKS/STONES,6169,25.94,131
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,OTHERS,2284,9.6,UNBAKED BRICKS/MUD,4852,20.4,181
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,OTHERS,2284,9.6,WOOD/BAMBOO,1844,7.75,49
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,OTHERS,2284,9.6,OTHERS,1418,5.96,1094
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,OTHERS,2284,9.6,BAKED BRICKS/BLOCKS/STONES,1446,6.08,15
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,OTHERS,2284,9.6,UNBAKED BRICKS/MUD,905,3.8,25
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,OTHERS,2284,9.6,WOOD/BAMBOO,139,0.58,9
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,OTHERS,2284,9.6,OTHERS,596,2.51,474
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,RURAL,UNDER CONSTRUCTION,RCC/RBC,404,1.84,BAKED BRICKS/BLOCKS/STONES,76,0.35,12
