province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,6,20953,8.81,3.08,7730,3.25,9.38,820
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,6,14581,6.13,3.3,7730,3.25,9.38,720
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,33886,14.24,4.15,7730,3.25,9.38,3089
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,7,4628,1.94,1.97,3662,1.54,9.49,42
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,7,16130,6.78,2,3662,1.54,9.49,87
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,7,20622,8.67,2.14,3662,1.54,9.49,134
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,7,28959,12.17,2.32,3662,1.54,9.49,206
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,7,35204,14.79,2.52,3662,1.54,9.49,304
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,7,34691,14.58,2.69,3662,1.54,9.49,342
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,7,28298,11.89,2.88,3662,1.54,9.49,373
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,7,20953,8.81,3.08,3662,1.54,9.49,344
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,7,14581,6.13,3.3,3662,1.54,9.49,296
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,33886,14.24,4.15,3662,1.54,9.49,1534
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,8,4628,1.94,1.97,2101,0.88,10.7,19
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,8,16130,6.78,2,2101,0.88,10.7,32
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,8,20622,8.67,2.14,2101,0.88,10.7,46
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,8,28959,12.17,2.32,2101,0.88,10.7,88
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,8,35204,14.79,2.52,2101,0.88,10.7,136
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,8,34691,14.58,2.69,2101,0.88,10.7,154
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,8,28298,11.89,2.88,2101,0.88,10.7,191
