province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,8,76100,13.27,3.17,9441,1.65,9.54,957
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,8,53618,9.35,3.32,9441,1.65,9.54,846
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,8,34970,6.1,3.57,9441,1.65,9.54,693
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,89042,15.53,4.4,9441,1.65,9.54,3937
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,9 AND MORE,10792,1.88,2.44,10882,1.9,10.39,150
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,9 AND MORE,24043,4.19,2.57,10882,1.9,10.39,238
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,9 AND MORE,40144,7,2.71,10882,1.9,10.39,344
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,9 AND MORE,63086,11,2.84,10882,1.9,10.39,569
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,9 AND MORE,87412,15.25,2.95,10882,1.9,10.39,845
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,9 AND MORE,94139,16.42,3.05,10882,1.9,10.39,1069
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,9 AND MORE,76100,13.27,3.17,10882,1.9,10.39,981
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,9 AND MORE,53618,9.35,3.32,10882,1.9,10.39,825
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,9 AND MORE,34970,6.1,3.57,10882,1.9,10.39,762
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,89042,15.53,4.4,10882,1.9,10.39,5099
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,RURAL,1 PERSON,1,6817,1.7,2.37,54162,13.52,5.18,2537
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,RURAL,2 PERSONS,1,15572,3.89,2.47,54162,13.52,5.18,4499
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,RURAL,3 PERSONS,1,26283,6.56,2.64,54162,13.52,5.18,6083
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,RURAL,4 PERSONS,1,41777,10.43,2.76,54162,13.52,5.18,8085
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,RURAL,5 PERSONS,1,58834,14.69,2.87,54162,13.52,5.18,9736
