province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,ELECTRIC/HAND PUMP,16622,3.34,3850
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,PROTECTED WELL,27,0.01,8
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,UN-PROTECTED WELL,41,0.01,9
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,SPRING,27,0.01,4
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,CANAL/RIVER/POND,325,0.07,82
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,OTHERS,7624,1.53,2091
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,COOKING FUEL,WOOD,144311,28.99,42991
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,COOKING FUEL,GAS,261853,52.61,64254
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,COOKING FUEL,KEROSENE OIL,543,0.11,153
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,COOKING FUEL,OTHERS,91060,18.29,25793
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,LIGHTING SOURCE,ELECTRICITY,493232,99.09,132027
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,LIGHTING SOURCE,KEROSENE OIL,2597,0.52,667
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,LIGHTING SOURCE,GAS LAMP,152,0.03,40
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,LIGHTING SOURCE,OTHERS,1786,0.36,457
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,INSIDE WATER,TAP,89084,17.9,51872
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,INSIDE WATER,ELECTRIC/HAND PUMP,368894,74.11,192214
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,INSIDE WATER,PROTECTED WELL,352,0.07,136
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,INSIDE WATER,UN-PROTECTED WELL,552,0.11,335
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,INSIDE WATER,OTHERS,3956,0.79,2138
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,TAP,10263,2.06,5909
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,ELECTRIC/HAND PUMP,16622,3.34,9705
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,PROTECTED WELL,27,0.01,10
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,UN-PROTECTED WELL,41,0.01,20
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,SPRING,27,0.01,20
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,CANAL/RIVER/POND,325,0.07,164
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,OUTSIDE WATER,OTHERS,7624,1.53,3849
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,COOKING FUEL,WOOD,144311,28.99,68419
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,11-50 YEARS,266372,53.51,COOKING FUEL,GAS,261853,52.61,150837
