province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,35 - 39,20110
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,40 - 44,16989
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,45 - 49,13919
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,50 - 54,10423
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,55 - 59,6556
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,60 - 64,5223
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,65 - 69,3287
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,70 - 74,2194
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,75 AND ABOVE,2957
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,10 AND ABOVE,64853
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,10 - 14,13307
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,15 - 19,10555
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,20 - 24,7187
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,25 - 29,5792
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,30 - 34,4904
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,35 - 39,4316
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,40 - 44,3978
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,45 - 49,3546
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,50 - 54,3161
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,55 - 59,2139
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,60 - 64,1974
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,65 - 69,1366
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,70 - 74,992
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,ALL SEXES,OTHER,75 AND ABOVE,1636
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,10 AND ABOVE,350336
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,10 - 14,81420
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,15 - 19,66039
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,20 - 24,41686
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,25 - 29,31334
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,30 - 34,26960
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,35 - 39,22998
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,40 - 44,20823
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,45 - 49,15278
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,50 - 54,13865
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,55 - 59,8915
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,60 - 64,7882
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,65 - 69,4798
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,70 - 74,3494
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,TOTAL POPULATION,75 AND ABOVE,4844
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,10 AND ABOVE,91983
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,10 - 14,2942
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,15 - 19,4290
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,20 - 24,7646
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,25 - 29,10084
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,30 - 34,11386
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,35 - 39,11350
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,40 - 44,10851
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,45 - 49,8645
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,50 - 54,8083
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,55 - 59,5295
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,60 - 64,4412
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,65 - 69,2713
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,70 - 74,1862
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,WORKING,75 AND ABOVE,2424
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,10 AND ABOVE,71045
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,10 - 14,4915
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,15 - 19,10702
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,20 - 24,13580
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,25 - 29,11341
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,30 - 34,8826
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,35 - 39,6627
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,40 - 44,5225
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,45 - 49,3022
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,50 - 54,2316
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,55 - 59,1323
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,60 - 64,1277
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,65 - 69,680
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,70 - 74,518
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,SEEKING WORK,75 AND ABOVE,693
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,10 AND ABOVE,122756
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,10 - 14,61555
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,15 - 19,41311
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,20 - 24,13585
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,25 - 29,4255
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,30 - 34,1433
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,35 - 39,387
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,40 - 44,230
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,45 - 49,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,50 - 54,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,55 - 59,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,60 - 64,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,65 - 69,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,70 - 74,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,STUDENT,75 AND ABOVE,0
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,10 AND ABOVE,19965
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,10 - 14,4141
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,15 - 19,3165
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,20 - 24,2021
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,25 - 29,1621
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,30 - 34,1660
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,35 - 39,1342
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,40 - 44,1381
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,45 - 49,971
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,50 - 54,1017
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,55 - 59,612
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,60 - 64,686
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,65 - 69,410
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,70 - 74,390
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,HOUSEKEEPING,75 AND ABOVE,548
BALOCHISTAN,112,KECH DISTRICT,KECH DISTRICT,TOTAL,MALE,OTHER,10 AND ABOVE,44587
