adm_lvl_1,adm_lvl_2,adm_lvl_3,adm_lvl_4,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
BALOCHISTAN,NA,KHARAN,KHARAN TEHSIL,KHARAN TEHSIL,TOTAL,5072,80703,42192,38511,NA,109.56,15.91,0.6368,7.24,43772,0.0327
BALOCHISTAN,NA,KHARAN,KHARAN TEHSIL,KHARAN TEHSIL,RURAL,NA,29315,15119,14196,NA,106.5,NA,NA,6.17,15966,0.032400000000000005
BALOCHISTAN,NA,KHARAN,KHARAN TEHSIL,KHARAN TEHSIL,URBAN,NA,51388,27073,24315,NA,111.34,NA,NA,8.05,27806,0.032799999999999996
BALOCHISTAN,NA,KHARAN,SAR KHARAN TEHSIL,SAR KHARAN TEHSIL,TOTAL,3539,49393,25438,23955,NA,106.19,13.96,NA,5.86,29768,0.027000000000000003
BALOCHISTAN,NA,KHARAN,SAR KHARAN TEHSIL,SAR KHARAN TEHSIL,RURAL,3539,49393,25438,23955,NA,106.19,13.96,NA,5.86,29768,0.027000000000000003
BALOCHISTAN,NA,KHARAN,SAR KHARAN TEHSIL,SAR KHARAN TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHARAN,SUB TEHSIL TOHMULK,SUB TEHSIL TOHMULK,TOTAL,6347,32670,17001,15669,NA,108.5,5.15,NA,6.22,23360,0.0178
BALOCHISTAN,NA,KHARAN,SUB TEHSIL TOHMULK,SUB TEHSIL TOHMULK,RURAL,NA,32670,17001,15669,NA,108.5,NA,NA,6.22,23360,0.0178
BALOCHISTAN,NA,KHARAN,SUB TEHSIL TOHMULK,SUB TEHSIL TOHMULK,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,NA,KHUZDAR DISTRICT,TOTAL,35380,798896,419351,379468,77,110.51,22.58,0.3452,6.59,417466,0.0347
BALOCHISTAN,NA,KHUZDAR,NA,KHUZDAR DISTRICT,RURAL,NA,523134,274438,248631,65,110.38,NA,NA,6.36,299218,0.0298
BALOCHISTAN,NA,KHUZDAR,NA,KHUZDAR DISTRICT,URBAN,NA,275762,144913,130837,12,110.76,NA,NA,7.06,118248,0.0455
BALOCHISTAN,NA,KHUZDAR,ARANJI SUB-TEHSIL,ARANJI SUB-TEHSIL,TOTAL,7456,42318,22656,19658,4,115.25,5.68,NA,6,28561,0.0209
BALOCHISTAN,NA,KHUZDAR,ARANJI SUB-TEHSIL,ARANJI SUB-TEHSIL,RURAL,NA,42318,22656,19658,4,115.25,NA,NA,6,28561,0.0209
BALOCHISTAN,NA,KHUZDAR,ARANJI SUB-TEHSIL,ARANJI SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,KARAKH SUB-TEHSIL,KARAKH SUB-TEHSIL,TOTAL,1352,31016,16082,14933,1,107.69,22.94,NA,5.78,21984,0.0182
BALOCHISTAN,NA,KHUZDAR,KARAKH SUB-TEHSIL,KARAKH SUB-TEHSIL,RURAL,NA,31016,16082,14933,1,107.69,NA,NA,5.78,21984,0.0182
BALOCHISTAN,NA,KHUZDAR,KARAKH SUB-TEHSIL,KARAKH SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,KHUZDAR TEHSIL,KHUZDAR TEHSIL,TOTAL,6112,299464,155682,143762,20,108.29,49,0.6092,6.68,161845,0.0329
BALOCHISTAN,NA,KHUZDAR,KHUZDAR TEHSIL,KHUZDAR TEHSIL,RURAL,NA,117020,60438,56569,13,106.84,NA,NA,6.4,70788,0.0268
BALOCHISTAN,NA,KHUZDAR,KHUZDAR TEHSIL,KHUZDAR TEHSIL,URBAN,NA,182444,95244,87193,7,109.23,NA,NA,6.88,91057,0.037200000000000004
BALOCHISTAN,NA,KHUZDAR,MOOLA SUB-TEHSIL,MOOLA SUB-TEHSIL,TOTAL,3283,23386,12027,11350,9,105.96,7.12,NA,6.1,13143,0.030699999999999998
BALOCHISTAN,NA,KHUZDAR,MOOLA SUB-TEHSIL,MOOLA SUB-TEHSIL,RURAL,NA,23386,12027,11350,9,105.96,NA,NA,6.1,13143,0.030699999999999998
BALOCHISTAN,NA,KHUZDAR,MOOLA SUB-TEHSIL,MOOLA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,NAL SUB-TEHSIL,NAL SUB-TEHSIL,TOTAL,4413,130897,68737,62148,12,110.6,29.66,0.2546,6.66,59314,0.0425
BALOCHISTAN,NA,KHUZDAR,NAL SUB-TEHSIL,NAL SUB-TEHSIL,RURAL,NA,97576,51298,46267,11,110.87,NA,NA,6.57,59314,0.0265
BALOCHISTAN,NA,KHUZDAR,NAL SUB-TEHSIL,NAL SUB-TEHSIL,URBAN,NA,33321,17439,15881,1,109.81,NA,NA,6.95,NA,0
BALOCHISTAN,NA,KHUZDAR,ORNACH SUB-TEHSIl,ORNACH SUB-TEHSIl,TOTAL,3368,37588,20191,17395,2,116.07,11.16,NA,5.7,20907,0.0313
BALOCHISTAN,NA,KHUZDAR,ORNACH SUB-TEHSIl,ORNACH SUB-TEHSIl,RURAL,NA,37588,20191,17395,2,116.07,NA,NA,5.7,20907,0.0313
BALOCHISTAN,NA,KHUZDAR,ORNACH SUB-TEHSIl,ORNACH SUB-TEHSIl,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,SAROONA SUB-TEHSIL,SAROONA SUB-TEHSIL,TOTAL,3257,32125,17427,14696,2,118.58,9.86,NA,5.23,20580,0.023700000000000002
BALOCHISTAN,NA,KHUZDAR,SAROONA SUB-TEHSIL,SAROONA SUB-TEHSIL,RURAL,NA,32125,17427,14696,2,118.58,NA,NA,5.23,20580,0.023700000000000002
BALOCHISTAN,NA,KHUZDAR,SAROONA SUB-TEHSIL,SAROONA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KHUZDAR,WADH TEHSIL,WADH TEHSIL,TOTAL,2118,100115,52281,47817,17,109.34,47.27,0.2218,6.11,52333,0.0347
BALOCHISTAN,NA,KHUZDAR,WADH TEHSIL,WADH TEHSIL,RURAL,NA,77906,40448,37443,15,108.03,NA,NA,6.07,38539,0.0377
BALOCHISTAN,NA,KHUZDAR,WADH TEHSIL,WADH TEHSIL,URBAN,NA,22209,11833,10374,2,114.06,NA,NA,6.27,13794,0.0253
BALOCHISTAN,NA,KHUZDAR,ZEHRI TEHSIL,ZEHRI TEHSIL,TOTAL,4021,101987,54268,47709,10,113.75,25.36,0.3705,9.06,38799,0.0521
BALOCHISTAN,NA,KHUZDAR,ZEHRI TEHSIL,ZEHRI TEHSIL,RURAL,NA,64199,33871,30320,8,111.71,NA,NA,9.08,25402,0.0499
BALOCHISTAN,NA,KHUZDAR,ZEHRI TEHSIL,ZEHRI TEHSIL,URBAN,NA,37788,20397,17389,2,117.3,NA,NA,9.02,13397,0.055999999999999994
BALOCHISTAN,NA,LASBELA,NA,LASBELA DISTRICT,TOTAL,15153,576271,301204,275056,11,109.51,38.03,0.4892,6.21,312695,0.0326
BALOCHISTAN,NA,LASBELA,NA,LASBELA DISTRICT,RURAL,NA,294373,153099,141271,3,108.37,NA,NA,5.46,197271,0.0213
BALOCHISTAN,NA,LASBELA,NA,LASBELA DISTRICT,URBAN,NA,281898,148105,133785,8,110.7,NA,NA,7.29,115424,0.048
BALOCHISTAN,NA,LASBELA,BELA TEHSIL,BELA TEHSIL,TOTAL,1527,104727,54696,50027,4,109.33,68.58,0.2349,5.57,68341,0.0227
BALOCHISTAN,NA,LASBELA,BELA TEHSIL,BELA TEHSIL,RURAL,NA,80124,41690,38433,1,108.47,NA,NA,5.45,51636,0.0233
BALOCHISTAN,NA,LASBELA,BELA TEHSIL,BELA TEHSIL,URBAN,NA,24603,13006,11594,3,112.18,NA,NA,6.01,16705,0.020499999999999997
BALOCHISTAN,NA,LASBELA,DUREJI TEHSIL,DUREJI TEHSIL,TOTAL,2813,45541,23851,21689,1,109.97,16.19,0.2823,5.21,31504,0.0195
BALOCHISTAN,NA,LASBELA,DUREJI TEHSIL,DUREJI TEHSIL,RURAL,NA,32686,17112,15573,1,109.88,NA,NA,5.31,31504,0.0019
BALOCHISTAN,NA,LASBELA,DUREJI TEHSIL,DUREJI TEHSIL,URBAN,NA,12855,6739,6116,NA,110.19,NA,NA,4.98,NA,NA
BALOCHISTAN,NA,LASBELA,GADDANI TEHSIL,GADDANI TEHSIL,TOTAL,419,24593,12791,11802,NA,108.38,58.69,0.3122,5.8,18957,0.0138
BALOCHISTAN,NA,LASBELA,GADDANI TEHSIL,GADDANI TEHSIL,RURAL,NA,16914,8902,8012,NA,111.11,NA,NA,5.69,7889,0.0409
BALOCHISTAN,NA,LASBELA,GADDANI TEHSIL,GADDANI TEHSIL,URBAN,NA,7679,3889,3790,NA,102.61,NA,NA,6.05,11068,-0.019
BALOCHISTAN,NA,LASBELA,HUB TEHSIL,HUB TEHSIL,TOTAL,868,205487,107703,97782,2,110.15,236.74,0.8654000000000001,7.66,80934,0.050199999999999995
BALOCHISTAN,NA,LASBELA,HUB TEHSIL,HUB TEHSIL,RURAL,NA,27664,14377,13287,NA,108.2,NA,NA,5.77,18171,0.0223
BALOCHISTAN,NA,LASBELA,HUB TEHSIL,HUB TEHSIL,URBAN,NA,177823,93326,84495,2,110.45,NA,NA,8.08,62763,0.0562
BALOCHISTAN,NA,LASBELA,KANRAJ TEHSIL,KANRAJ TEHSIL,TOTAL,1190,12389,6871,5518,NA,124.52,10.41,NA,4.16,8116,0.0225
BALOCHISTAN,NA,LASBELA,KANRAJ TEHSIL,KANRAJ TEHSIL,RURAL,NA,12389,6871,5518,NA,124.52,NA,NA,4.16,8116,0.0225
BALOCHISTAN,NA,LASBELA,KANRAJ TEHSIL,KANRAJ TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,LASBELA,LAKHRA TEHSIL,LAKHRA TEHSIL,TOTAL,1954,35495,18094,17400,1,103.99,18.17,NA,6.06,25474,0.0176
BALOCHISTAN,NA,LASBELA,LAKHRA TEHSIL,LAKHRA TEHSIL,RURAL,NA,35495,18094,17400,1,103.99,NA,NA,6.06,25474,0.0176
BALOCHISTAN,NA,LASBELA,LAKHRA TEHSIL,LAKHRA TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,LASBELA,LIARI TEHSIL,LIARI TEHSIL,TOTAL,2010,11730,5990,5740,NA,104.36,5.84,NA,4.74,7846,0.021400000000000002
BALOCHISTAN,NA,LASBELA,LIARI TEHSIL,LIARI TEHSIL,RURAL,NA,11730,5990,5740,NA,104.36,NA,NA,4.74,7846,0.021400000000000002
BALOCHISTAN,NA,LASBELA,LIARI TEHSIL,LIARI TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,LASBELA,SONMIANI/WINDER TEHSIL,SONMIANI/WINDER TEHSIL,TOTAL,2616,64019,33220,30797,2,107.87,24.47,0.461,6.11,31799,0.0374
BALOCHISTAN,NA,LASBELA,SONMIANI/WINDER TEHSIL,SONMIANI/WINDER TEHSIL,RURAL,NA,34504,17867,16637,NA,107.39,NA,NA,5.74,20230,0.028399999999999998
BALOCHISTAN,NA,LASBELA,SONMIANI/WINDER TEHSIL,SONMIANI/WINDER TEHSIL,URBAN,NA,29515,15353,14160,2,108.43,NA,NA,6.63,11569,0.0504
BALOCHISTAN,NA,LASBELA,UTHAL TEHSIL,UTHAL TEHSIL,TOTAL,1756,72290,37988,34301,1,110.75,41.17,0.40700000000000003,5.88,39724,0.032
BALOCHISTAN,NA,LASBELA,UTHAL TEHSIL,UTHAL TEHSIL,RURAL,NA,42867,22196,20671,NA,107.38,NA,NA,5.35,26405,0.0258
BALOCHISTAN,NA,LASBELA,UTHAL TEHSIL,UTHAL TEHSIL,URBAN,NA,29423,15792,13630,1,115.86,NA,NA,6.92,13319,0.0425
BALOCHISTAN,NA,MASTUNG,NA,MASTUNG DISTRICT,TOTAL,3308,265676,137504,128169,3,107.28,80.31,0.1317,6.84,150039,0.0305
BALOCHISTAN,NA,MASTUNG,NA,MASTUNG DISTRICT,RURAL,NA,230679,119654,111022,3,107.78,NA,NA,6.81,125908,0.0323
BALOCHISTAN,NA,MASTUNG,NA,MASTUNG DISTRICT,URBAN,NA,34997,17850,17147,NA,104.1,NA,NA,7,24131,0.0197
BALOCHISTAN,NA,MASTUNG,DASHT TEHSIL,DASHT TEHSIL,TOTAL,1047,64765,34040,30722,3,110.8,61.86,NA,6.34,24570,0.052199999999999996
BALOCHISTAN,NA,MASTUNG,DASHT TEHSIL,DASHT TEHSIL,RURAL,NA,64765,34040,30722,3,110.8,NA,NA,6.34,24570,0.052199999999999996
BALOCHISTAN,NA,MASTUNG,DASHT TEHSIL,DASHT TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,MASTUNG,KHAD KOCHA SUB-TEHSIL,KHAD KOCHA SUB-TEHSIL,TOTAL,640,38860,20265,18595,NA,108.98,60.72,NA,6.54,19262,0.037599999999999995
BALOCHISTAN,NA,MASTUNG,KHAD KOCHA SUB-TEHSIL,KHAD KOCHA SUB-TEHSIL,RURAL,NA,38860,20265,18595,NA,108.98,NA,NA,6.54,19262,0.037599999999999995
BALOCHISTAN,NA,MASTUNG,KHAD KOCHA SUB-TEHSIL,KHAD KOCHA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,MASTUNG,KIRDGAP SUB-TEHSIL,KIRDGAP SUB-TEHSIL,TOTAL,929,28624,14682,13942,NA,105.31,30.81,NA,6.4,24214,0.0088
BALOCHISTAN,NA,MASTUNG,KIRDGAP SUB-TEHSIL,KIRDGAP SUB-TEHSIL,RURAL,NA,28624,14682,13942,NA,105.31,NA,NA,6.4,24214,0.0088
BALOCHISTAN,NA,MASTUNG,KIRDGAP SUB-TEHSIL,KIRDGAP SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,MASTUNG,MASTUNG TEHSIL,MASTUNG TEHSIL,TOTAL,692,133427,68517,64910,NA,105.56,192.81,0.2623,7.32,81993,0.0259
BALOCHISTAN,NA,MASTUNG,MASTUNG TEHSIL,MASTUNG TEHSIL,RURAL,NA,98430,50667,47763,NA,106.08,NA,NA,7.44,57862,0.028300000000000002
BALOCHISTAN,NA,MASTUNG,MASTUNG TEHSIL,MASTUNG TEHSIL,URBAN,NA,34997,17850,17147,NA,104.1,NA,NA,7,24131,0.0197
BALOCHISTAN,NA,WASHUK,NA,WASHUK DISTRICT,TOTAL,33093,175712,91841,83870,1,109.5,5.31,0.1243,5.6,110009,0.024900000000000002
BALOCHISTAN,NA,WASHUK,NA,WASHUK DISTRICT,RURAL,NA,153877,80434,73442,1,109.52,NA,NA,5.62,110009,0.0178
BALOCHISTAN,NA,WASHUK,NA,WASHUK DISTRICT,URBAN,NA,21835,11407,10428,NA,109.39,NA,NA,5.45,NA,NA
BALOCHISTAN,NA,WASHUK,BESIMA SUB-TEHSIL,BESIMA SUB-TEHSIL,TOTAL,6014,40266,21513,18753,NA,114.72,6.7,NA,6.66,16740,0.0472
BALOCHISTAN,NA,WASHUK,BESIMA SUB-TEHSIL,BESIMA SUB-TEHSIL,RURAL,NA,40266,21513,18753,NA,114.72,NA,NA,6.66,16740,0.0472
BALOCHISTAN,NA,WASHUK,BESIMA SUB-TEHSIL,BESIMA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,WASHUK,MASHKHEL SUB-TEHSIL,MASHKHEL SUB-TEHSIL,TOTAL,11663,38634,20219,18414,1,109.8,3.31,NA,4.97,29844,0.0137
BALOCHISTAN,NA,WASHUK,MASHKHEL SUB-TEHSIL,MASHKHEL SUB-TEHSIL,RURAL,NA,38634,20219,18414,1,109.8,NA,NA,4.97,29844,0.0137
BALOCHISTAN,NA,WASHUK,MASHKHEL SUB-TEHSIL,MASHKHEL SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,WASHUK,NAG SUB-TEHSIL,NAG SUB-TEHSIL,TOTAL,4338,34477,17743,16734,NA,106.03,7.95,NA,5.43,19956,0.0291
BALOCHISTAN,NA,WASHUK,NAG SUB-TEHSIL,NAG SUB-TEHSIL,RURAL,NA,34477,17743,16734,NA,106.03,NA,NA,5.43,19956,0.0291
BALOCHISTAN,NA,WASHUK,NAG SUB-TEHSIL,NAG SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,WASHUK,SHAHGORI SUB-TEHSIL,SHAHGORI SUB-TEHSIL,TOTAL,3584,27548,14332,13216,NA,108.44,7.69,NA,5.19,19641,0.0179
BALOCHISTAN,NA,WASHUK,SHAHGORI SUB-TEHSIL,SHAHGORI SUB-TEHSIL,RURAL,NA,27548,14332,13216,NA,108.44,NA,NA,5.19,19641,0.0179
BALOCHISTAN,NA,WASHUK,SHAHGORI SUB-TEHSIL,SHAHGORI SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,WASHUK,WASHUK SUB-TEHSIL,WASHUK SUB-TEHSIL,TOTAL,7494,34787,18034,16753,NA,107.65,4.64,0.6277,5.89,23828,0.020099999999999996
BALOCHISTAN,NA,WASHUK,WASHUK SUB-TEHSIL,WASHUK SUB-TEHSIL,RURAL,NA,12952,6627,6325,NA,104.77,NA,NA,6.81,23828,-0.0315
BALOCHISTAN,NA,WASHUK,WASHUK SUB-TEHSIL,WASHUK SUB-TEHSIL,URBAN,NA,21835,11407,10428,NA,109.39,NA,NA,5.45,0,0
BALOCHISTAN,NA,GWADAR,NA,GWADAR DISTRICT,TOTAL,12637,262253,141116,121120,17,116.51,20.75,0.6131,6.36,185498,0.0184
BALOCHISTAN,NA,GWADAR,NA,GWADAR DISTRICT,RURAL,NA,101474,53299,48173,2,110.64,NA,NA,5.8,85346,0.0091
BALOCHISTAN,NA,GWADAR,NA,GWADAR DISTRICT,URBAN,NA,160779,87817,72947,15,120.38,NA,NA,6.79,100152,0.0252
BALOCHISTAN,NA,GWADAR,GWADAR TEHSIL,GWADAR TEHSIL,TOTAL,2590,137695,74724,62963,8,118.68,53.16,0.6551,6.5,72614,0.0342
BALOCHISTAN,NA,GWADAR,GWADAR TEHSIL,GWADAR TEHSIL,RURAL,NA,47494,24823,22670,1,109.5,NA,NA,5.93,27593,0.028900000000000002
BALOCHISTAN,NA,GWADAR,GWADAR TEHSIL,GWADAR TEHSIL,URBAN,NA,90201,49901,40293,7,123.85,NA,NA,6.86,45021,0.037200000000000004
BALOCHISTAN,NA,GWADAR,JIWANI TEHSIL,JIWANI TEHSIL,TOTAL,454,26691,13851,12836,4,107.91,58.79,0.6844,5.99,19788,0.0158
BALOCHISTAN,NA,GWADAR,JIWANI TEHSIL,JIWANI TEHSIL,RURAL,NA,8423,4340,4083,NA,106.29,NA,NA,5.75,5716,0.0206
BALOCHISTAN,NA,GWADAR,JIWANI TEHSIL,JIWANI TEHSIL,URBAN,NA,18268,9511,8753,4,108.66,NA,NA,6.1,14072,0.0138
BALOCHISTAN,NA,GWADAR,ORMARA TEHSIL,ORMARA TEHSIL,TOTAL,2796,25634,14151,11483,NA,123.23,9.17,0.6926000000000001,5.34,18848,0.0163
BALOCHISTAN,NA,GWADAR,ORMARA TEHSIL,ORMARA TEHSIL,RURAL,NA,7881,4150,3731,NA,111.23,NA,NA,5.24,7327,0.0038
BALOCHISTAN,NA,GWADAR,ORMARA TEHSIL,ORMARA TEHSIL,URBAN,NA,17753,10001,7752,NA,129.01,NA,NA,5.4,11521,0.023
BALOCHISTAN,NA,GWADAR,PASNI TEHSIL,PASNI TEHSIL,TOTAL,4822,61347,32559,28783,5,113.12,12.72,0.5633,7.04,56902,0.004
BALOCHISTAN,NA,GWADAR,PASNI TEHSIL,PASNI TEHSIL,RURAL,NA,26790,14155,12634,1,112.04,NA,NA,6.02,27364,-0.0011
BALOCHISTAN,NA,GWADAR,PASNI TEHSIL,PASNI TEHSIL,URBAN,NA,34557,18404,16149,4,113.96,NA,NA,8.15,29538,0.0083
