province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,3,4982,1.28,58007,14.93,751
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,3,64406,16.57,58007,14.93,9992
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,3,150926,38.84,58007,14.93,21720
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,3,164060,42.22,58007,14.93,24871
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,3,4255,1.09,58007,14.93,673
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,4,4982,1.28,25714,6.62,356
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,4,64406,16.57,25714,6.62,4663
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,4,150926,38.84,25714,6.62,9293
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,4,164060,42.22,25714,6.62,11099
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,4,4255,1.09,25714,6.62,303
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,5,4982,1.28,9021,2.32,100
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,5,64406,16.57,9021,2.32,1654
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,5,150926,38.84,9021,2.32,3081
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,5,164060,42.22,9021,2.32,4043
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,5,4255,1.09,9021,2.32,143
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,6,4982,1.28,4752,1.22,70
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,6,64406,16.57,4752,1.22,970
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,6,150926,38.84,4752,1.22,1604
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,6,164060,42.22,4752,1.22,2043
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,6,4255,1.09,4752,1.22,65
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,7,4982,1.28,2354,0.61,32
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,7,64406,16.57,2354,0.61,460
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,7,150926,38.84,2354,0.61,810
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,7,164060,42.22,2354,0.61,1012
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,7,4255,1.09,2354,0.61,40
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,8,4982,1.28,1189,0.31,19
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,8,64406,16.57,1189,0.31,237
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,8,150926,38.84,1189,0.31,407
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,8,164060,42.22,1189,0.31,499
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,8,4255,1.09,1189,0.31,27
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,4982,1.28,1467,0.38,18
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,64406,16.57,1467,0.38,309
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,9 AND MORE,150926,38.84,1467,0.38,518
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,9 AND MORE,164060,42.22,1467,0.38,601
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,4255,1.09,1467,0.38,21
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,1,4240,1.66,63394,24.75,1084
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,1,32799,12.81,63394,24.75,7793
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,1,69744,27.23,63394,24.75,16872
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,1,140266,54.77,63394,24.75,35663
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,1,9043,3.53,63394,24.75,1982
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,2,4240,1.66,83048,32.43,1589
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,2,32799,12.81,83048,32.43,11319
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,2,69744,27.23,83048,32.43,24543
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,2,140266,54.77,83048,32.43,42887
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,2,9043,3.53,83048,32.43,2710
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,3,4240,1.66,51102,19.95,777
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,3,32799,12.81,51102,19.95,6751
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,3,69744,27.23,51102,19.95,14295
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,3,140266,54.77,51102,19.95,27644
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,3,9043,3.53,51102,19.95,1635
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,4,4240,1.66,30020,11.72,437
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,4,32799,12.81,30020,11.72,3778
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,4,69744,27.23,30020,11.72,7614
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,4,140266,54.77,30020,11.72,16939
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,4,9043,3.53,30020,11.72,1252
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,5,4240,1.66,12740,4.97,154
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,5,32799,12.81,12740,4.97,1414
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,5,69744,27.23,12740,4.97,2966
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,5,140266,54.77,12740,4.97,7640
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,5,9043,3.53,12740,4.97,566
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,6,4240,1.66,7744,3.02,76
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,6,32799,12.81,7744,3.02,843
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,6,69744,27.23,7744,3.02,1734
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,6,140266,54.77,7744,3.02,4613
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,6,9043,3.53,7744,3.02,478
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,7,4240,1.66,3675,1.44,59
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,7,32799,12.81,3675,1.44,449
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,7,69744,27.23,3675,1.44,850
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,7,140266,54.77,3675,1.44,2150
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,7,9043,3.53,3675,1.44,167
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,8,4240,1.66,2069,0.81,29
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,8,32799,12.81,2069,0.81,226
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,8,69744,27.23,2069,0.81,402
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,8,140266,54.77,2069,0.81,1292
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,8,9043,3.53,2069,0.81,120
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,4240,1.66,2300,0.9,35
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,32799,12.81,2300,0.9,226
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,5-10 YEARS,9 AND MORE,69744,27.23,2300,0.9,468
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,11-50 YEARS,9 AND MORE,140266,54.77,2300,0.9,1438
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,9043,3.53,2300,0.9,133
