province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"5,000 AND ABOVE",45,ALL SEXES,448275
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"5,000 AND ABOVE",45,MALE,227297
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"5,000 AND ABOVE",45,FEMALE,220930
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"5,000 AND ABOVE",45,TRANSGENDER,48
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"2,000 - 4,999",21,ALL SEXES,62188
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"2,000 - 4,999",21,MALE,31509
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"2,000 - 4,999",21,FEMALE,30671
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"2,000 - 4,999",21,TRANSGENDER,8
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"1,000 - 1,999",8,ALL SEXES,11703
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"1,000 - 1,999",8,MALE,5852
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"1,000 - 1,999",8,FEMALE,5851
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,"1,000 - 1,999",8,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,500 - 999,7,ALL SEXES,6225
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,500 - 999,7,MALE,3200
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,500 - 999,7,FEMALE,3024
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,500 - 999,7,TRANSGENDER,1
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,200 - 499,1,ALL SEXES,470
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,200 - 499,1,MALE,224
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,200 - 499,1,FEMALE,246
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,200 - 499,1,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,LESS THAN 200,1,ALL SEXES,45
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,LESS THAN 200,1,MALE,26
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,LESS THAN 200,1,FEMALE,19
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,LESS THAN 200,1,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,UN-INHABITED,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,UN-INHABITED,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,UN-INHABITED,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,UN-INHABITED,-,TRANSGENDER,0
