province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,2,3367,1.7,55447,27.98,880
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,2,26172,13.21,55447,27.98,7461
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,2,56437,28.48,55447,27.98,16751
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,2,103109,52.03,55447,27.98,28016
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,2,9072,4.58,55447,27.98,2339
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,3,3367,1.7,41259,20.82,732
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,3,26172,13.21,41259,20.82,6064
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,3,56437,28.48,41259,20.82,11971
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,3,103109,52.03,41259,20.82,20679
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,3,9072,4.58,41259,20.82,1813
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,4,3367,1.7,27914,14.09,478
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,4,26172,13.21,27914,14.09,3579
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,4,56437,28.48,27914,14.09,8101
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,4,103109,52.03,27914,14.09,14449
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,4,9072,4.58,27914,14.09,1307
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,5,3367,1.7,14274,7.2,245
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,5,26172,13.21,14274,7.2,1826
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,5,56437,28.48,14274,7.2,4010
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,5,103109,52.03,14274,7.2,7524
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,5,9072,4.58,14274,7.2,669
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,6,3367,1.7,8787,4.43,107
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,6,26172,13.21,8787,4.43,1241
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,6,56437,28.48,8787,4.43,2431
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,6,103109,52.03,8787,4.43,4596
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,6,9072,4.58,8787,4.43,412
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,7,3367,1.7,4239,2.14,79
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,7,26172,13.21,4239,2.14,591
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,7,56437,28.48,4239,2.14,1138
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,7,103109,52.03,4239,2.14,2236
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,7,9072,4.58,4239,2.14,195
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,8,3367,1.7,2708,1.37,49
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,8,26172,13.21,2708,1.37,402
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,8,56437,28.48,2708,1.37,717
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,8,103109,52.03,2708,1.37,1397
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,8,9072,4.58,2708,1.37,143
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,3367,1.7,3984,2.01,88
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,26172,13.21,3984,2.01,569
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,9 AND MORE,56437,28.48,3984,2.01,892
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,9 AND MORE,103109,52.03,3984,2.01,2202
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,9072,4.58,3984,2.01,233
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,1,2981,2.3,12771,9.87,328
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,1,13550,10.47,12771,9.87,1151
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,1,29563,22.85,12771,9.87,2827
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,1,77559,59.95,12771,9.87,7669
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,1,5723,4.42,12771,9.87,796
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,2,2981,2.3,23102,17.86,528
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,2,13550,10.47,23102,17.86,2473
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,2,29563,22.85,23102,17.86,5562
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,2,77559,59.95,23102,17.86,13270
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,2,5723,4.42,23102,17.86,1269
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,3,2981,2.3,25297,19.55,644
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,3,13550,10.47,25297,19.55,3091
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,3,29563,22.85,25297,19.55,6097
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,3,77559,59.95,25297,19.55,14397
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,3,5723,4.42,25297,19.55,1068
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,4,2981,2.3,22200,17.16,522
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,4,13550,10.47,22200,17.16,2279
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,4,29563,22.85,22200,17.16,5138
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,4,77559,59.95,22200,17.16,13244
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,4,5723,4.42,22200,17.16,1017
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,5,2981,2.3,15279,11.81,350
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,5,13550,10.47,15279,11.81,1366
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,5,29563,22.85,15279,11.81,3195
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,5,77559,59.95,15279,11.81,9769
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,5,5723,4.42,15279,11.81,599
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,6,2981,2.3,12945,10.01,252
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,6,13550,10.47,12945,10.01,1353
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,6,29563,22.85,12945,10.01,2820
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,6,77559,59.95,12945,10.01,8092
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,6,5723,4.42,12945,10.01,428
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,7,2981,2.3,6610,5.11,138
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,7,13550,10.47,6610,5.11,639
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,7,29563,22.85,6610,5.11,1508
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,7,77559,59.95,6610,5.11,4118
