province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,FEMALE,138878,47.54,INSTITUTIONAL,1075,2.13,3396
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,FEMALE,138878,47.54,HOMELESS,35,0.07,27
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,FEMALE,138878,47.54,TOTAL,50569,100,138878
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,TRANSGENDER,59,0.02,REGULAR,49459,97.8,55
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,TRANSGENDER,59,0.02,INSTITUTIONAL,1075,2.13,4
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,TRANSGENDER,59,0.02,HOMELESS,35,0.07,0
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,TRANSGENDER,59,0.02,TOTAL,50569,100,59
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,ALL SEXES,140766,100,REGULAR,26779,99.37,139536
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,ALL SEXES,140766,100,INSTITUTIONAL,159,0.59,1183
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,ALL SEXES,140766,100,HOMELESS,10,0.04,47
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,ALL SEXES,140766,100,TOTAL,26948,100,140766
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,MALE,73297,52.07,REGULAR,26779,99.37,72328
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,MALE,73297,52.07,INSTITUTIONAL,159,0.59,939
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,MALE,73297,52.07,HOMELESS,10,0.04,30
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,MALE,73297,52.07,TOTAL,26948,100,73297
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,FEMALE,67464,47.93,REGULAR,26779,99.37,67203
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,FEMALE,67464,47.93,INSTITUTIONAL,159,0.59,244
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,FEMALE,67464,47.93,HOMELESS,10,0.04,17
