province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,WALL,WOOD/BAMBOO,4883,28.7,9
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,WALL,OTHERS,482,2.83,0
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,ROOF,RCC/RBC,261,1.53,10
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,ROOF,CEMENT/IRON SHEETS,288,1.69,5
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,ROOF,GARDER/T.IRON,6619,38.9,23
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,ROOF,WOOD/BAMBOO,9592,56.37,32
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,ROOF,OTHERS,256,1.5,0
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,URBAN,OWNED,20111,90.68,WALL,BAKED BRICKS/BLOCKS/STONES,16326,73.61,14727
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,URBAN,OWNED,20111,90.68,WALL,UNBAKED BRICKS/MUD,3666,16.53,3347
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,URBAN,OWNED,20111,90.68,WALL,WOOD/BAMBOO,1714,7.73,1624
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,URBAN,OWNED,20111,90.68,WALL,OTHERS,472,2.13,413
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,URBAN,OWNED,20111,90.68,ROOF,RCC/RBC,1542,6.95,1277
