province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,WALL,UNBAKED BRICKS/MUD,41018,34.08,1543
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,WALL,WOOD/BAMBOO,36861,30.62,1260
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,WALL,OTHERS,3589,2.98,191
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,ROOF,RCC/RBC,1755,1.46,789
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,ROOF,CEMENT/IRON SHEETS,4347,3.61,270
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,ROOF,GARDER/T.IRON,35486,29.48,1637
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,ROOF,WOOD/BAMBOO,74999,62.31,2314
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,ROOF,OTHERS,3778,3.14,241
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,LESS THAN 5 YEARS,33367,27.72,WALL,BAKED BRICKS/BLOCKS/STONES,38897,32.32,9243
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,LESS THAN 5 YEARS,33367,27.72,WALL,UNBAKED BRICKS/MUD,41018,34.08,13628
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,LESS THAN 5 YEARS,33367,27.72,WALL,WOOD/BAMBOO,36861,30.62,9607
