province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,TRANSGENDER,16,0.01,TOTAL,24420,100,16
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,ALL SEXES,434966,100,REGULAR,69307,98.5,425808
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,ALL SEXES,434966,100,INSTITUTIONAL,1043,1.48,9146
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,ALL SEXES,434966,100,HOMELESS,12,0.02,12
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,ALL SEXES,434966,100,TOTAL,70362,100,434966
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,MALE,224662,51.65,REGULAR,69307,98.5,219708
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,MALE,224662,51.65,INSTITUTIONAL,1043,1.48,4943
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,MALE,224662,51.65,HOMELESS,12,0.02,11
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,MALE,224662,51.65,TOTAL,70362,100,224662
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,FEMALE,210254,48.34,REGULAR,69307,98.5,206053
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,FEMALE,210254,48.34,INSTITUTIONAL,1043,1.48,4200
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,FEMALE,210254,48.34,HOMELESS,12,0.02,1
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,FEMALE,210254,48.34,TOTAL,70362,100,210254
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,TRANSGENDER,50,0.01,REGULAR,69307,98.5,47
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,TRANSGENDER,50,0.01,INSTITUTIONAL,1043,1.48,3
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,TRANSGENDER,50,0.01,HOMELESS,12,0.02,0
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,TOTAL,TRANSGENDER,50,0.01,TOTAL,70362,100,50
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,ALL SEXES,343986,100,REGULAR,54260,98.4,336288
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,ALL SEXES,343986,100,INSTITUTIONAL,869,1.58,7687
SINDH,076,KASHMOR DISTRICT,KASHMOR TALUKA,RURAL,ALL SEXES,343986,100,HOMELESS,11,0.02,11
