province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,OWNED,9,91358,88.13,193,0.19,171
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,RENTED,9,629,0.61,193,0.19,2
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,RURAL,RENT FREE,9,11670,11.26,193,0.19,20
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,1,23286,85.27,17895,65.53,15384
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,1,2372,8.69,17895,65.53,1152
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,1,1651,6.05,17895,65.53,1359
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,2,23286,85.27,6068,22.22,4982
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,2,2372,8.69,6068,22.22,902
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,2,1651,6.05,6068,22.22,184
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,3,23286,85.27,1839,6.73,1553
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,3,2372,8.69,1839,6.73,231
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,3,1651,6.05,1839,6.73,55
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,4,23286,85.27,785,2.87,721
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,4,2372,8.69,785,2.87,48
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,4,1651,6.05,785,2.87,16
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,5,23286,85.27,233,0.85,217
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,5,2372,8.69,233,0.85,15
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,5,1651,6.05,233,0.85,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,6,23286,85.27,166,0.61,154
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,6,2372,8.69,166,0.61,8
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,6,1651,6.05,166,0.61,4
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,7,23286,85.27,144,0.53,123
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,7,2372,8.69,144,0.53,14
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,7,1651,6.05,144,0.53,7
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,8,23286,85.27,59,0.22,58
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,8,2372,8.69,59,0.22,0
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,8,1651,6.05,59,0.22,1
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,OWNED,9,23286,85.27,120,0.44,94
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENTED,9,2372,8.69,120,0.44,2
SINDH,090,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN DISTRICT,URBAN,RENT FREE,9,1651,6.05,120,0.44,24
