province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,6,5322,8.74,3.04,3836,6.3,8.42,223
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,6,8409,13.81,3.26,3836,6.3,8.42,353
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,6,9738,15.99,3.41,3836,6.3,8.42,551
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,6,8573,14.08,3.57,3836,6.3,8.42,497
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,6,6639,10.9,3.67,3836,6.3,8.42,454
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,6,4992,8.2,3.86,3836,6.3,8.42,382
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,11940,19.61,4.38,3836,6.3,8.42,1225
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,7,710,1.17,2.31,1894,3.11,8.71,4
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,7,1705,2.8,2.5,1894,3.11,8.71,13
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,7,2855,4.69,2.82,1894,3.11,8.71,35
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,7,5322,8.74,3.04,1894,3.11,8.71,96
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,7,8409,13.81,3.26,1894,3.11,8.71,194
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,7,9738,15.99,3.41,1894,3.11,8.71,237
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,7,8573,14.08,3.57,1894,3.11,8.71,272
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,7,6639,10.9,3.67,1894,3.11,8.71,215
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,7,4992,8.2,3.86,1894,3.11,8.71,208
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,11940,19.61,4.38,1894,3.11,8.71,620
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,8,710,1.17,2.31,1182,1.94,8.97,5
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,8,1705,2.8,2.5,1182,1.94,8.97,15
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,8,2855,4.69,2.82,1182,1.94,8.97,27
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,8,5322,8.74,3.04,1182,1.94,8.97,50
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,8,8409,13.81,3.26,1182,1.94,8.97,107
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,8,9738,15.99,3.41,1182,1.94,8.97,127
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,8,8573,14.08,3.57,1182,1.94,8.97,171
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,8,6639,10.9,3.67,1182,1.94,8.97,122
