province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,WALL,WOOD/BAMBOO,1619,0.73,322
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,WALL,OTHERS,2732,1.24,461
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,ROOF,RCC/RBC,5199,2.36,192
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,ROOF,CEMENT/IRON SHEETS,2053,0.93,107
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,ROOF,GARDER/T.IRON,183608,83.31,6909
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,ROOF,WOOD/BAMBOO,26900,12.21,3977
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,ROOF,OTHERS,2622,1.19,469
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,WALL,BAKED BRICKS/BLOCKS/STONES,39163,92.7,33621
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,WALL,UNBAKED BRICKS/MUD,2421,5.73,2133
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,WALL,WOOD/BAMBOO,259,0.61,223
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,WALL,OTHERS,404,0.96,315
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,ROOF,RCC/RBC,8092,19.15,6746
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,ROOF,CEMENT/IRON SHEETS,482,1.14,374
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,ROOF,GARDER/T.IRON,29287,69.32,25438
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,ROOF,WOOD/BAMBOO,3950,9.35,3394
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,OWNED,36292,85.9,ROOF,OTHERS,436,1.03,340
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,WALL,BAKED BRICKS/BLOCKS/STONES,39163,92.7,4538
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,WALL,UNBAKED BRICKS/MUD,2421,5.73,173
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,WALL,WOOD/BAMBOO,259,0.61,23
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,WALL,OTHERS,404,0.96,37
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,ROOF,RCC/RBC,8092,19.15,1154
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,ROOF,CEMENT/IRON SHEETS,482,1.14,84
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,ROOF,GARDER/T.IRON,29287,69.32,3154
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,ROOF,WOOD/BAMBOO,3950,9.35,334
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENTED,4771,11.29,ROOF,OTHERS,436,1.03,45
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,WALL,BAKED BRICKS/BLOCKS/STONES,39163,92.7,1004
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,WALL,UNBAKED BRICKS/MUD,2421,5.73,115
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,WALL,WOOD/BAMBOO,259,0.61,13
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,WALL,OTHERS,404,0.96,52
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,ROOF,RCC/RBC,8092,19.15,192
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,ROOF,CEMENT/IRON SHEETS,482,1.14,24
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,ROOF,GARDER/T.IRON,29287,69.32,695
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,ROOF,WOOD/BAMBOO,3950,9.35,222
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,RENT FREE,1184,2.8,ROOF,OTHERS,436,1.03,51
