province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,50 - 54,29656,43.62,ILLITERATE,16720
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,55 - 59,19584,38.89,ILLITERATE,11968
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,60 - 64,16351,36.08,ILLITERATE,10451
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,65 - 69,12633,28.97,ILLITERATE,8973
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,70 - 74,8795,26.96,ILLITERATE,6424
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,75 AND ABOVE,10746,21.38,ILLITERATE,8448
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 AND ABOVE,600422,61.61,TOTAL LITERATE,369903
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 - 14,110465,79.02,TOTAL LITERATE,87288
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,15 - 19,86989,73.87,TOTAL LITERATE,64259
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,20 - 24,69258,68.61,TOTAL LITERATE,47517
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,25 - 29,59794,63.5,TOTAL LITERATE,37972
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,30 - 34,51041,59.91,TOTAL LITERATE,30578
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,35 - 39,52567,58.39,TOTAL LITERATE,30696
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,40 - 44,38914,54,TOTAL LITERATE,21015
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,45 - 49,33629,46.97,TOTAL LITERATE,15797
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,50 - 54,29656,43.62,TOTAL LITERATE,12936
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,55 - 59,19584,38.89,TOTAL LITERATE,7616
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,60 - 64,16351,36.08,TOTAL LITERATE,5900
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,65 - 69,12633,28.97,TOTAL LITERATE,3660
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,70 - 74,8795,26.96,TOTAL LITERATE,2371
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,75 AND ABOVE,10746,21.38,TOTAL LITERATE,2298
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 AND ABOVE,600422,61.61,FORMAL LITERATE,367114
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 - 14,110465,79.02,FORMAL LITERATE,87097
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,15 - 19,86989,73.87,FORMAL LITERATE,64064
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,20 - 24,69258,68.61,FORMAL LITERATE,47236
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,25 - 29,59794,63.5,FORMAL LITERATE,37667
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,30 - 34,51041,59.91,FORMAL LITERATE,30293
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,35 - 39,52567,58.39,FORMAL LITERATE,30382
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,40 - 44,38914,54,FORMAL LITERATE,20781
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,45 - 49,33629,46.97,FORMAL LITERATE,15585
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,50 - 54,29656,43.62,FORMAL LITERATE,12733
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,55 - 59,19584,38.89,FORMAL LITERATE,7500
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,60 - 64,16351,36.08,FORMAL LITERATE,5772
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,65 - 69,12633,28.97,FORMAL LITERATE,3562
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,70 - 74,8795,26.96,FORMAL LITERATE,2269
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,75 AND ABOVE,10746,21.38,FORMAL LITERATE,2173
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 AND ABOVE,600422,61.61,INFORMAL LITERATE,2789
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 - 14,110465,79.02,INFORMAL LITERATE,191
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,15 - 19,86989,73.87,INFORMAL LITERATE,195
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,20 - 24,69258,68.61,INFORMAL LITERATE,281
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,25 - 29,59794,63.5,INFORMAL LITERATE,305
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,30 - 34,51041,59.91,INFORMAL LITERATE,285
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,35 - 39,52567,58.39,INFORMAL LITERATE,314
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,40 - 44,38914,54,INFORMAL LITERATE,234
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,45 - 49,33629,46.97,INFORMAL LITERATE,212
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,50 - 54,29656,43.62,INFORMAL LITERATE,203
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,55 - 59,19584,38.89,INFORMAL LITERATE,116
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,60 - 64,16351,36.08,INFORMAL LITERATE,128
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,65 - 69,12633,28.97,INFORMAL LITERATE,98
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,70 - 74,8795,26.96,INFORMAL LITERATE,102
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,75 AND ABOVE,10746,21.38,INFORMAL LITERATE,125
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 AND ABOVE,596196,38.08,ILLITERATE,369139
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 - 14,99592,69.65,ILLITERATE,30225
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,15 - 19,82535,58.22,ILLITERATE,34482
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,20 - 24,72442,46.86,ILLITERATE,38499
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,25 - 29,65618,37.37,ILLITERATE,41096
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,30 - 34,57485,31.15,ILLITERATE,39580
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,35 - 39,51882,24.48,ILLITERATE,39180
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,40 - 44,39431,19.56,ILLITERATE,31717
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,45 - 49,33245,14.42,ILLITERATE,28450
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,50 - 54,26825,12.37,ILLITERATE,23508
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,55 - 59,18128,9.14,ILLITERATE,16471
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,60 - 64,17465,7.41,ILLITERATE,16170
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,65 - 69,12485,5.86,ILLITERATE,11754
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,70 - 74,8579,5.12,ILLITERATE,8140
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,75 AND ABOVE,10484,5.89,ILLITERATE,9867
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 AND ABOVE,596196,38.08,TOTAL LITERATE,227057
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 - 14,99592,69.65,TOTAL LITERATE,69367
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,15 - 19,82535,58.22,TOTAL LITERATE,48053
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,20 - 24,72442,46.86,TOTAL LITERATE,33943
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,25 - 29,65618,37.37,TOTAL LITERATE,24522
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,30 - 34,57485,31.15,TOTAL LITERATE,17905
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,35 - 39,51882,24.48,TOTAL LITERATE,12702
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,40 - 44,39431,19.56,TOTAL LITERATE,7714
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,45 - 49,33245,14.42,TOTAL LITERATE,4795
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,50 - 54,26825,12.37,TOTAL LITERATE,3317
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,55 - 59,18128,9.14,TOTAL LITERATE,1657
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,60 - 64,17465,7.41,TOTAL LITERATE,1295
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,65 - 69,12485,5.86,TOTAL LITERATE,731
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,70 - 74,8579,5.12,TOTAL LITERATE,439
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,75 AND ABOVE,10484,5.89,TOTAL LITERATE,617
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 AND ABOVE,596196,38.08,FORMAL LITERATE,223471
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 - 14,99592,69.65,FORMAL LITERATE,69153
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,15 - 19,82535,58.22,FORMAL LITERATE,47773
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,20 - 24,72442,46.86,FORMAL LITERATE,33529
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,25 - 29,65618,37.37,FORMAL LITERATE,24050
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,30 - 34,57485,31.15,FORMAL LITERATE,17457
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,35 - 39,51882,24.48,FORMAL LITERATE,12333
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,40 - 44,39431,19.56,FORMAL LITERATE,7471
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,45 - 49,33245,14.42,FORMAL LITERATE,4562
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,50 - 54,26825,12.37,FORMAL LITERATE,3106
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,55 - 59,18128,9.14,FORMAL LITERATE,1510
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,60 - 64,17465,7.41,FORMAL LITERATE,1117
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,65 - 69,12485,5.86,FORMAL LITERATE,600
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,70 - 74,8579,5.12,FORMAL LITERATE,327
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,75 AND ABOVE,10484,5.89,FORMAL LITERATE,483
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 AND ABOVE,596196,38.08,INFORMAL LITERATE,3586
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,10 - 14,99592,69.65,INFORMAL LITERATE,214
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,15 - 19,82535,58.22,INFORMAL LITERATE,280
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,20 - 24,72442,46.86,INFORMAL LITERATE,414
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,25 - 29,65618,37.37,INFORMAL LITERATE,472
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,30 - 34,57485,31.15,INFORMAL LITERATE,448
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,35 - 39,51882,24.48,INFORMAL LITERATE,369
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,40 - 44,39431,19.56,INFORMAL LITERATE,243
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,45 - 49,33245,14.42,INFORMAL LITERATE,233
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,50 - 54,26825,12.37,INFORMAL LITERATE,211
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,55 - 59,18128,9.14,INFORMAL LITERATE,147
