province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,8,8166,4.67,2.11,1570,0.9,9.76,36
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,8,12658,7.23,2.27,1570,0.9,9.76,48
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,8,19452,11.12,2.42,1570,0.9,9.76,81
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,8,27513,15.72,2.53,1570,0.9,9.76,148
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,8,29016,16.58,2.63,1570,0.9,9.76,180
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,8,23014,13.15,2.74,1570,0.9,9.76,132
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,8,16182,9.25,2.9,1570,0.9,9.76,147
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,8,10468,5.98,3.1,1570,0.9,9.76,111
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,25194,14.4,3.86,1570,0.9,9.76,671
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,9 AND MORE,3304,1.89,2.13,1648,0.94,10.25,30
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,9 AND MORE,8166,4.67,2.11,1648,0.94,10.25,40
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,9 AND MORE,12658,7.23,2.27,1648,0.94,10.25,62
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,9 AND MORE,19452,11.12,2.42,1648,0.94,10.25,88
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,9 AND MORE,27513,15.72,2.53,1648,0.94,10.25,151
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,9 AND MORE,29016,16.58,2.63,1648,0.94,10.25,162
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,9 AND MORE,23014,13.15,2.74,1648,0.94,10.25,141
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,9 AND MORE,16182,9.25,2.9,1648,0.94,10.25,119
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,9 AND MORE,10468,5.98,3.1,1648,0.94,10.25,110
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,25194,14.4,3.86,1648,0.94,10.25,745
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,1,2129,1.87,1.98,24671,21.66,5.13,995
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,1,5481,4.81,2.02,24671,21.66,5.13,2333
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,1,8215,7.21,2.19,24671,21.66,5.13,2911
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,1,12621,11.08,2.35,24671,21.66,5.13,3714
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,1,17576,15.43,2.47,24671,21.66,5.13,4465
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,1,18663,16.39,2.56,24671,21.66,5.13,4043
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,1,15064,13.23,2.68,24671,21.66,5.13,2794
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,1,10523,9.24,2.85,24671,21.66,5.13,1630
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,1,7000,6.15,3.06,24671,21.66,5.13,834
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1,16610,14.59,3.81,24671,21.66,5.13,952
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,2,2129,1.87,1.98,37670,33.08,6.1,648
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,2,5481,4.81,2.02,37670,33.08,6.1,1809
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,2,8215,7.21,2.19,37670,33.08,6.1,2843
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,2,12621,11.08,2.35,37670,33.08,6.1,4464
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,2,17576,15.43,2.47,37670,33.08,6.1,6319
