province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,1,53328,51.43,20507,19.78,10188
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,1,1800,1.74,20507,19.78,350
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,2,1154,1.11,33793,32.59,341
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,2,17127,16.52,33793,32.59,5414
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,2,30275,29.2,33793,32.59,10091
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,2,53328,51.43,33793,32.59,17337
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,2,1800,1.74,33793,32.59,610
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,3,1154,1.11,22607,21.8,228
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,3,17127,16.52,22607,21.8,3482
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,3,30275,29.2,22607,21.8,6624
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,3,53328,51.43,22607,21.8,11902
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,3,1800,1.74,22607,21.8,371
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,4,1154,1.11,13756,13.27,177
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,4,17127,16.52,13756,13.27,2073
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,4,30275,29.2,13756,13.27,3908
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,4,53328,51.43,13756,13.27,7354
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,4,1800,1.74,13756,13.27,244
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,5,1154,1.11,6061,5.85,68
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,5,17127,16.52,6061,5.85,1049
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,5,30275,29.2,6061,5.85,1716
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,5,53328,51.43,6061,5.85,3124
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,5,1800,1.74,6061,5.85,104
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,6,1154,1.11,3562,3.44,59
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,6,17127,16.52,3562,3.44,623
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,6,30275,29.2,3562,3.44,1045
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,6,53328,51.43,3562,3.44,1779
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,6,1800,1.74,3562,3.44,56
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,7,1154,1.11,1405,1.36,17
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,7,17127,16.52,1405,1.36,235
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,7,30275,29.2,1405,1.36,438
