province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,11-50 YEARS,7,63941,31.63,1256,0.62,398
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OVER 50 YEARS,7,9517,4.71,1256,0.62,68
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,UNDER CONSTRUCTION,8,4612,2.28,167,0.08,8
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,LESS THAN 5 YEARS,8,44735,22.13,167,0.08,26
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5-10 YEARS,8,79331,39.25,167,0.08,66
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,11-50 YEARS,8,63941,31.63,167,0.08,56
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OVER 50 YEARS,8,9517,4.71,167,0.08,11
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,4612,2.28,382,0.19,14
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,44735,22.13,382,0.19,69
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5-10 YEARS,9 AND MORE,79331,39.25,382,0.19,159
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,11-50 YEARS,9 AND MORE,63941,31.63,382,0.19,116
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,9517,4.71,382,0.19,24
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,UNDER CONSTRUCTION,1,1696,2.17,39374,50.26,797
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,URBAN,LESS THAN 5 YEARS,1,9705,12.39,39374,50.26,4810
