province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,10 PERSONS AND ABOVE,7,42635,35.09,4.22,2671,2.2,14.16,1930
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,1 PERSON,8,639,0.53,2.67,1688,1.39,15.11,9
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,2 PERSONS,8,4245,3.49,1.95,1688,1.39,15.11,14
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,3 PERSONS,8,5712,4.7,2.04,1688,1.39,15.11,23
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,4 PERSONS,8,7657,6.3,2.13,1688,1.39,15.11,26
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5 PERSONS,8,9779,8.05,2.32,1688,1.39,15.11,39
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,6 PERSONS,8,12099,9.96,2.49,1688,1.39,15.11,54
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,7 PERSONS,8,13603,11.2,2.65,1688,1.39,15.11,76
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,8 PERSONS,8,13367,11,2.89,1688,1.39,15.11,85
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,9 PERSONS,8,11751,9.67,3.15,1688,1.39,15.11,90
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,10 PERSONS AND ABOVE,8,42635,35.09,4.22,1688,1.39,15.11,1272
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,1 PERSON,9 AND MORE,639,0.53,2.67,2591,2.13,16.4,11
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,2 PERSONS,9 AND MORE,4245,3.49,1.95,2591,2.13,16.4,17
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,3 PERSONS,9 AND MORE,5712,4.7,2.04,2591,2.13,16.4,25
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,4 PERSONS,9 AND MORE,7657,6.3,2.13,2591,2.13,16.4,35
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5 PERSONS,9 AND MORE,9779,8.05,2.32,2591,2.13,16.4,58
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,6 PERSONS,9 AND MORE,12099,9.96,2.49,2591,2.13,16.4,83
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,7 PERSONS,9 AND MORE,13603,11.2,2.65,2591,2.13,16.4,98
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,8 PERSONS,9 AND MORE,13367,11,2.89,2591,2.13,16.4,120
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,9 PERSONS,9 AND MORE,11751,9.67,3.15,2591,2.13,16.4,119
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,10 PERSONS AND ABOVE,9 AND MORE,42635,35.09,4.22,2591,2.13,16.4,2025
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,1 PERSON,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,2 PERSONS,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,3 PERSONS,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,4 PERSONS,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,5 PERSONS,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,6 PERSONS,1,0,0,0,0,0,0,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,7 PERSONS,1,0,0,0,0,0,0,0
