province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,WALL,WOOD/BAMBOO,2653,0.6,38
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,WALL,OTHERS,5096,1.16,77
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,ROOF,RCC/RBC,187018,42.42,1571
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,ROOF,CEMENT/IRON SHEETS,25737,5.84,282
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,ROOF,GARDER/T.IRON,132271,30,1225
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,ROOF,WOOD/BAMBOO,88816,20.15,2175
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,ROOF,OTHERS,6990,1.59,125
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,WALL,BAKED BRICKS/BLOCKS/STONES,276255,94.24,5337
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,WALL,UNBAKED BRICKS/MUD,11341,3.87,308
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,WALL,WOOD/BAMBOO,2045,0.7,81
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,WALL,OTHERS,3492,1.19,154
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,ROOF,RCC/RBC,87121,29.72,2464
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,UNDER CONSTRUCTION,5880,2.01,ROOF,CEMENT/IRON SHEETS,13179,4.5,362
