province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,SEPTIC TANK,23116,22.46,13116
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,OPEN DRAIN,7944,7.72,4642
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,PIT WITH SLAB,21006,20.41,11367
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,OTHER,13690,13.3,8052
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,NONE,21016,20.42,13523
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,KITCHEN,SEPARATE,58015,56.37,2855
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,KITCHEN,SHARED,31166,30.28,1650
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,KITCHEN,NONE,13746,13.36,631
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,BATH,SEPARATE,65472,63.61,3097
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,BATH,SHARED,30484,29.62,1662
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,BATH,NONE,6971,6.77,377
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,SEWER,16155,15.7,648
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,SEPTIC TANK,23116,22.46,1357
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,OPEN DRAIN,7944,7.72,513
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,PIT WITH SLAB,21006,20.41,934
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,OTHER,13690,13.3,570
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,OVER 50 YEARS,5136,4.99,LATRINE,NONE,21016,20.42,1114
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,KITCHEN,SEPARATE,56294,56.48,1670
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,KITCHEN,SHARED,29905,30.01,589
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,KITCHEN,NONE,13463,13.51,177
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,BATH,SEPARATE,63414,63.63,1734
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,BATH,SHARED,29322,29.42,569
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,UNDER CONSTRUCTION,2436,2.44,BATH,NONE,6926,6.95,133
