province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,work_status,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,65-74,10,WORKING,1
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,75 AND ABOVE,8,WORKING,3
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,ALL AGES,398,OTHER,93
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,BELOW 5 YEARS,85,OTHER,0
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,05-09,83,OTHER,0
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,10-14,56,OTHER,24
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,15-24,55,OTHER,20
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,25-34,40,OTHER,19
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,35-44,31,OTHER,5
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,45-54,7,OTHER,1
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,55-64,23,OTHER,11
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,65-74,10,OTHER,8
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,75 AND ABOVE,8,OTHER,5
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,FEMALE,ALL AGES,378,WORKING,21
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,RURAL,FEMALE,BELOW 5 YEARS,85,WORKING,0
