province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,ROOF,CEMENT/IRON SHEETS,6480,5.54,1667
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,ROOF,GARDER/T.IRON,38519,32.95,11256
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,ROOF,WOOD/BAMBOO,15185,12.99,2418
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,ROOF,OTHERS,1073,0.92,217
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,WALL,BAKED BRICKS/BLOCKS/STONES,111817,95.65,60198
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,WALL,UNBAKED BRICKS/MUD,3769,3.22,1327
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,WALL,WOOD/BAMBOO,772,0.66,345
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,WALL,OTHERS,549,0.47,249
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,ROOF,RCC/RBC,55650,47.6,27926
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,ROOF,CEMENT/IRON SHEETS,6480,5.54,2991
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,ROOF,GARDER/T.IRON,38519,32.95,20875
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,ROOF,WOOD/BAMBOO,15185,12.99,9709
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,11-50 YEARS,62119,53.14,ROOF,OTHERS,1073,0.92,618
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,WALL,BAKED BRICKS/BLOCKS/STONES,111817,95.65,2770
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,WALL,UNBAKED BRICKS/MUD,3769,3.22,209
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,WALL,WOOD/BAMBOO,772,0.66,32
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,WALL,OTHERS,549,0.47,20
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,ROOF,RCC/RBC,55650,47.6,709
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,ROOF,CEMENT/IRON SHEETS,6480,5.54,108
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,ROOF,GARDER/T.IRON,38519,32.95,650
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,ROOF,WOOD/BAMBOO,15185,12.99,1521
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OVER 50 YEARS,3031,2.59,ROOF,OTHERS,1073,0.92,43
