province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,SEWER,622,9.99,585
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,SEPTIC TANK,438,7.04,421
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,OPEN DRAIN,109,1.75,103
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,PIT WITH SLAB,4614,74.11,4356
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,OTHER,357,5.73,334
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,LATRINE,NONE,86,1.38,65
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,KITCHEN,SEPARATE,3284,52.75,100
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,KITCHEN,SHARED,2804,45.04,74
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,KITCHEN,NONE,138,2.22,7
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,BATH,SEPARATE,3492,56.09,97
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,BATH,SHARED,2620,42.08,83
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,BATH,NONE,114,1.83,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,SEWER,622,9.99,16
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,SEPTIC TANK,438,7.04,11
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,OPEN DRAIN,109,1.75,3
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,PIT WITH SLAB,4614,74.11,139
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,OTHER,357,5.73,10
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,181,2.91,LATRINE,NONE,86,1.38,2
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,KITCHEN,SEPARATE,3284,52.75,118
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,KITCHEN,SHARED,2804,45.04,35
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,KITCHEN,NONE,138,2.22,28
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,BATH,SEPARATE,3492,56.09,124
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,BATH,SHARED,2620,42.08,47
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,BATH,NONE,114,1.83,10
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,SEWER,622,9.99,21
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,SEPTIC TANK,438,7.04,6
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,OPEN DRAIN,109,1.75,3
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,PIT WITH SLAB,4614,74.11,119
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,OTHER,357,5.73,13
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,181,2.91,LATRINE,NONE,86,1.38,19
