province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,LESS THAN 200,2,FEMALE,117
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,LESS THAN 200,2,TRANSGENDER,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,UN-INHABITED,-,ALL SEXES,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,UN-INHABITED,-,MALE,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,UN-INHABITED,-,FEMALE,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,UN-INHABITED,-,TRANSGENDER,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,TOTAL,340,ALL SEXES,378004
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,TOTAL,340,MALE,190905
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,TOTAL,340,FEMALE,187088
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,TOTAL,340,TRANSGENDER,11
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"5,000 AND ABOVE",4,ALL SEXES,31411
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"5,000 AND ABOVE",4,MALE,16111
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"5,000 AND ABOVE",4,FEMALE,15300
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"5,000 AND ABOVE",4,TRANSGENDER,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"2,000 - 4,999",43,ALL SEXES,118843
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"2,000 - 4,999",43,MALE,59904
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"2,000 - 4,999",43,FEMALE,58936
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"2,000 - 4,999",43,TRANSGENDER,3
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"1,000 - 1,999",93,ALL SEXES,127477
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"1,000 - 1,999",93,MALE,64527
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"1,000 - 1,999",93,FEMALE,62946
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,"1,000 - 1,999",93,TRANSGENDER,4
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,500 - 999,99,ALL SEXES,71032
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,500 - 999,99,MALE,35633
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,500 - 999,99,FEMALE,35396
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,500 - 999,99,TRANSGENDER,3
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,200 - 499,76,ALL SEXES,26051
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,200 - 499,76,MALE,13055
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,200 - 499,76,FEMALE,12995
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,200 - 499,76,TRANSGENDER,1
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,LESS THAN 200,25,ALL SEXES,3190
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,LESS THAN 200,25,MALE,1675
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,LESS THAN 200,25,FEMALE,1515
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,LESS THAN 200,25,TRANSGENDER,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,UN-INHABITED,-,ALL SEXES,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,UN-INHABITED,-,MALE,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,UN-INHABITED,-,FEMALE,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,UN-INHABITED,-,TRANSGENDER,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,TOTAL,411,ALL SEXES,480671
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,TOTAL,411,MALE,235098
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,TOTAL,411,FEMALE,245555
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,TOTAL,411,TRANSGENDER,18
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"5,000 AND ABOVE",4,ALL SEXES,24739
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"5,000 AND ABOVE",4,MALE,12379
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"5,000 AND ABOVE",4,FEMALE,12357
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"5,000 AND ABOVE",4,TRANSGENDER,3
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"2,000 - 4,999",64,ALL SEXES,192775
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"2,000 - 4,999",64,MALE,94622
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"2,000 - 4,999",64,FEMALE,98142
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"2,000 - 4,999",64,TRANSGENDER,11
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"1,000 - 1,999",99,ALL SEXES,141747
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"1,000 - 1,999",99,MALE,69430
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"1,000 - 1,999",99,FEMALE,72315
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,"1,000 - 1,999",99,TRANSGENDER,2
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,500 - 999,118,ALL SEXES,84512
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,500 - 999,118,MALE,40960
