province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,7,3955,4.06,1.85,2534,2.6,14.34,22
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,7,4685,4.8,2.01,2534,2.6,14.34,29
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,7,6633,6.8,2.18,2534,2.6,14.34,43
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,7,8582,8.8,2.4,2534,2.6,14.34,61
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,7,10105,10.36,2.59,2534,2.6,14.34,80
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,7,10788,11.06,2.8,2534,2.6,14.34,127
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,7,10314,10.58,3.02,2534,2.6,14.34,139
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,7,8785,9.01,3.28,2534,2.6,14.34,138
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,32429,33.25,4.49,2534,2.6,14.34,1884
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,8,1251,1.28,1.94,1726,1.77,15.2,9
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,8,3955,4.06,1.85,1726,1.77,15.2,11
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,8,4685,4.8,2.01,1726,1.77,15.2,13
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,8,6633,6.8,2.18,1726,1.77,15.2,23
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,8,8582,8.8,2.4,1726,1.77,15.2,39
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,8,10105,10.36,2.59,1726,1.77,15.2,55
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,8,10788,11.06,2.8,1726,1.77,15.2,66
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,8,10314,10.58,3.02,1726,1.77,15.2,100
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,8,8785,9.01,3.28,1726,1.77,15.2,93
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,32429,33.25,4.49,1726,1.77,15.2,1317
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,9 AND MORE,1251,1.28,1.94,2445,2.51,18.1,16
