province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,MALE,87147,78.42,TOTAL LITERATE,68339
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,MALE,87147,78.42,FORMAL LITERATE,67803
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,MALE,87147,78.42,INFORMAL LITERATE,536
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,FEMALE,87509,70.74,ILLITERATE,25609
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,FEMALE,87509,70.74,TOTAL LITERATE,61900
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,FEMALE,87509,70.74,FORMAL LITERATE,61286
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,FEMALE,87509,70.74,INFORMAL LITERATE,614
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,TRANSGENDER,38,31.58,ILLITERATE,26
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,TRANSGENDER,38,31.58,TOTAL LITERATE,12
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,TRANSGENDER,38,31.58,FORMAL LITERATE,11
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,TRANSGENDER,38,31.58,INFORMAL LITERATE,1
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,ALL SEXES,682760,51.41,ILLITERATE,331772
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,ALL SEXES,682760,51.41,TOTAL LITERATE,350988
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,ALL SEXES,682760,51.41,FORMAL LITERATE,347144
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,ALL SEXES,682760,51.41,INFORMAL LITERATE,3844
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,MALE,339783,63.55,ILLITERATE,123856
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,MALE,339783,63.55,TOTAL LITERATE,215927
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,MALE,339783,63.55,FORMAL LITERATE,214182
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,MALE,339783,63.55,INFORMAL LITERATE,1745
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,FEMALE,342881,39.38,ILLITERATE,207854
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,FEMALE,342881,39.38,TOTAL LITERATE,135027
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,FEMALE,342881,39.38,FORMAL LITERATE,132931
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,FEMALE,342881,39.38,INFORMAL LITERATE,2096
