province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,35 - 39,19444
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,35 - 39,85946
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,35 - 39,82043
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,35 - 39,3903
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,35 - 39,87328
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,35 - 39,71802
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,35 - 39,15526
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,35 - 39,28
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,35 - 39,13
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,35 - 39,15
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,40 - 44,142668
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,40 - 44,128828
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,40 - 44,13840
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,40 - 44,70560
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,40 - 44,67424
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,40 - 44,3136
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,40 - 44,72086
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,40 - 44,61391
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,40 - 44,10695
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,40 - 44,22
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,40 - 44,13
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,40 - 44,9
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,45 - 49,122810
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,45 - 49,114805
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,45 - 49,8005
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,45 - 49,62377
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,45 - 49,60430
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,45 - 49,1947
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,45 - 49,60398
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,45 - 49,54350
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,45 - 49,6048
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,45 - 49,35
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,45 - 49,25
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,45 - 49,10
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,50 - 54,108184
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,50 - 54,101263
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,50 - 54,6921
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,50 - 54,56300
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,50 - 54,54439
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,50 - 54,1861
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,50 - 54,51865
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,50 - 54,46808
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,50 - 54,5057
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,50 - 54,19
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,50 - 54,16
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,50 - 54,3
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,55 - 59,76873
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,55 - 59,72845
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,55 - 59,4028
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,55 - 59,40146
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,55 - 59,38944
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,55 - 59,1202
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,55 - 59,36715
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,55 - 59,33890
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,55 - 59,2825
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,55 - 59,12
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,55 - 59,11
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,55 - 59,1
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,60 - 64,64565
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,60 - 64,60216
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,60 - 64,4349
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,60 - 64,32903
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,60 - 64,31629
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,60 - 64,1274
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,60 - 64,31653
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,60 - 64,28581
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,60 - 64,3072
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,60 - 64,9
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,60 - 64,6
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,60 - 64,3
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,65 - 69,45138
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,65 - 69,42231
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,65 - 69,2907
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,65 - 69,23067
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,65 - 69,22146
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,65 - 69,921
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,65 - 69,22063
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,65 - 69,20079
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,65 - 69,1984
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,65 - 69,8
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,65 - 69,6
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,65 - 69,2
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,70 - 74,34211
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,70 - 74,31233
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,70 - 74,2978
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,70 - 74,17797
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,70 - 74,16861
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,70 - 74,936
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,70 - 74,16410
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,70 - 74,14368
